ExpenseID|Category|Amount|Date|RelatedProjectID|Description|ApprovedBy|PaymentMethod|ExpenseStatus
128|Specialized Equipment Rental|132065.09|2021-05-07|48|Specialized Equipment Rental expense for Project #48|141|Check|Paid
129|Permits and Inspections|138007.29|2024-06-19|174|Permits and Inspections expense for Project #174|190|Wire Transfer|Paid
130|Specialized Equipment Rental|8977.92|2022-01-05|28|Specialized Equipment Rental expense for Project #28|172|Corporate Card|Paid
131|Permits and Inspections|88479.46|2021-10-10|1019|Permits and Inspections expense for Project #1019|75|Check|Paid
132|Trade Show Exhibitions|8260.46|2021-08-05|None|Trade Show Exhibitions expense (Overhead)|Pending|Wire Transfer|Paid
133|Travel & Lodging (Project Specific)|104382.51|2023-10-30|1178|Travel & Lodging (Project Specific) expense for Project #1178|Pending|Check|Paid
134|Subcontractor Fees|117792.74|2025-01-29|857|Subcontractor Fees expense for Project #857|172|Wire Transfer|Paid
135|Client Entertainment|10567.59|2020-08-12|None|Client Entertainment expense (Overhead)|185|Corporate Card|Paid
136|Design Services|34638.2|2024-10-27|773|Design Services expense for Project #773|56|Wire Transfer|Paid
137|Travel & Lodging (Project Specific)|155764.4|2023-06-19|940|Travel & Lodging (Project Specific) expense for Project #940|133|Corporate Card|Paid
138|Travel & Lodging (Project Specific)|31916.52|2022-04-09|513|Travel & Lodging (Project Specific) expense for Project #513|3|Wire Transfer|Paid
139|Client Entertainment|4671.97|2021-11-16|None|Client Entertainment expense (Overhead)|196|Check|Paid
140|Programming Services|97892.29|2025-03-17|390|Programming Services expense for Project #390|147|ACH|Paid
141|Utilities|10906.25|2021-04-19|None|Utilities expense (Overhead)|56|Wire Transfer|Paid
142|Office Supplies|8851.27|2024-05-17|None|Office Supplies expense (Overhead)|196|Check|Paid
143|Luxury Office Lease|4960.97|2024-02-20|None|Luxury Office Lease expense (Overhead)|169|ACH|Paid
144|Client Entertainment|9156.81|2022-07-27|None|Client Entertainment expense (Overhead)|57|Check|Paid
145|Vehicle Maintenance|6351.04|2021-02-24|None|Vehicle Maintenance expense (Overhead)|61|Wire Transfer|Paid
146|Programming Services|111259.89|2025-03-07|434|Programming Services expense for Project #434|16|Wire Transfer|Paid
147|Subcontractor Fees|26840.64|2024-04-25|683|Subcontractor Fees expense for Project #683|190|Check|Paid
148|Design Software Licenses|2882.93|2021-03-06|None|Design Software Licenses expense (Overhead)|3|Check|Paid
149|Programming Services|38555.37|2021-03-28|1179|Programming Services expense for Project #1179|185|Corporate Card|Paid
150|Premium Insurance|384.93|2025-01-06|None|Premium Insurance expense (Overhead)|196|Corporate Card|Paid
151|Premium Materials|143688.05|2024-05-06|549|Premium Materials expense for Project #549|142|Wire Transfer|Paid
152|Premium Vehicle Fleet|10044.58|2025-01-20|None|Premium Vehicle Fleet expense (Overhead)|9|Wire Transfer|Paid
153|Permits and Inspections|132111.02|2024-02-15|522|Permits and Inspections expense for Project #522|125|Corporate Card|Paid
154|Specialized Equipment Rental|102753.65|2021-03-17|262|Specialized Equipment Rental expense for Project #262|56|Check|Paid
155|Design Services|19604.24|2022-10-02|1099|Design Services expense for Project #1099|21|Corporate Card|Paid
156|Specialized Equipment Rental|34377.93|2021-10-06|726|Specialized Equipment Rental expense for Project #726|54|ACH|Paid
157|Programming Services|75340.3|2022-01-04|748|Programming Services expense for Project #748|109|ACH|Paid
158|Subcontractor Fees|124821.31|2022-05-29|983|Subcontractor Fees expense for Project #983|142|Corporate Card|Paid
159|Subcontractor Fees|38082.79|2024-03-13|289|Subcontractor Fees expense for Project #289|133|Check|Paid
160|Permits and Inspections|18309.65|2023-08-29|492|Permits and Inspections expense for Project #492|109|ACH|Paid
161|Permits and Inspections|10798.69|2025-01-11|847|Permits and Inspections expense for Project #847|56|ACH|Paid
162|Design Services|135261.11|2023-10-10|956|Design Services expense for Project #956|57|Wire Transfer|Paid
163|Specialized Equipment Rental|55565.24|2022-07-10|1056|Specialized Equipment Rental expense for Project #1056|142|ACH|Paid
164|Design Services|92276.18|2024-05-24|360|Design Services expense for Project #360|Pending|Check|Paid
165|Marketing & Branding|4303.17|2023-03-03|None|Marketing & Branding expense (Overhead)|189|ACH|Paid
166|Subcontractor Fees|160708.4|2021-05-22|732|Subcontractor Fees expense for Project #732|55|Corporate Card|Paid
167|Premium Materials|19246.39|2021-09-26|825|Premium Materials expense for Project #825|75|Corporate Card|Paid
168|Custom Fabrication|73660.38|2024-05-20|37|Custom Fabrication expense for Project #37|164|Check|Paid
169|Permits and Inspections|47009.02|2024-12-18|703|Permits and Inspections expense for Project #703|9|Corporate Card|Paid
170|Permits and Inspections|34256.02|2024-03-10|968|Permits and Inspections expense for Project #968|172|Corporate Card|Paid
171|Vehicle Maintenance|62.01|2021-01-31|None|Vehicle Maintenance expense (Overhead)|56|Check|Paid
172|Subcontractor Fees|19921.39|2024-08-25|1088|Subcontractor Fees expense for Project #1088|56|Wire Transfer|Paid
173|Design Services|51602.88|2022-02-26|975|Design Services expense for Project #975|61|Wire Transfer|Paid
174|Permits and Inspections|27797.52|2024-03-06|1067|Permits and Inspections expense for Project #1067|172|Corporate Card|Paid
175|Premium Insurance|4011.97|2020-12-18|None|Premium Insurance expense (Overhead)|69|Check|Paid
176|Programming Services|65283.36|2024-10-17|809|Programming Services expense for Project #809|142|ACH|Paid
177|Subcontractor Fees|177892.87|2024-04-22|1014|Subcontractor Fees expense for Project #1014|164|Corporate Card|Paid
178|Custom Fabrication|152982.13|2025-01-30|895|Custom Fabrication expense for Project #895|185|Corporate Card|Paid
179|Premium Materials|32521.52|2022-09-02|270|Premium Materials expense for Project #270|164|Check|Paid
180|Subcontractor Fees|20500.03|2024-05-29|175|Subcontractor Fees expense for Project #175|196|ACH|Paid
181|Design Services|88192.12|2025-04-09|664|Design Services expense for Project #664|21|ACH|Unpaid
182|Professional Association Dues|5767.22|2023-03-24|None|Professional Association Dues expense (Overhead)|106|Corporate Card|Paid
183|Office Supplies|6714.22|2020-02-24|None|Office Supplies expense (Overhead)|116|Corporate Card|Paid
184|Custom Fabrication|85395.72|2023-02-11|1000|Custom Fabrication expense for Project #1000|58|Check|Paid
185|Advanced Training Programs|3574.48|2022-02-01|None|Advanced Training Programs expense (Overhead)|133|Wire Transfer|Paid
186|Permits and Inspections|129289.05|2022-05-17|674|Permits and Inspections expense for Project #674|190|Corporate Card|Paid
187|Client Entertainment|5146.78|2021-02-07|None|Client Entertainment expense (Overhead)|57|Wire Transfer|Paid
188|Premium Vehicle Fleet|4385.93|2020-05-29|None|Premium Vehicle Fleet expense (Overhead)|125|Corporate Card|Paid
189|Premium Materials|79475.9|2022-07-12|405|Premium Materials expense for Project #405|185|Check|Paid
190|Design Services|107440.38|2024-08-16|815|Design Services expense for Project #815|61|ACH|Paid
191|Subcontractor Fees|37790.58|2023-03-15|745|Subcontractor Fees expense for Project #745|69|Check|Paid
192|Programming Services|39120.86|2025-02-18|950|Programming Services expense for Project #950|172|Check|Paid
193|Advanced Training Programs|6513.72|2023-11-29|None|Advanced Training Programs expense (Overhead)|133|ACH|Paid
194|Specialized Equipment Rental|58071.85|2022-10-05|72|Specialized Equipment Rental expense for Project #72|57|Corporate Card|Paid
195|Custom Fabrication|148791.66|2022-05-28|759|Custom Fabrication expense for Project #759|169|Check|Paid
196|Utilities|354.63|2020-09-17|None|Utilities expense (Overhead)|69|Wire Transfer|Paid
197|Premium Materials|64790.62|2023-05-14|401|Premium Materials expense for Project #401|21|Wire Transfer|Paid
198|Client Entertainment|9455.58|2022-02-02|None|Client Entertainment expense (Overhead)|147|Wire Transfer|Paid
199|Permits and Inspections|38186.85|2021-04-29|132|Permits and Inspections expense for Project #132|140|Corporate Card|Paid
200|Specialized Equipment Rental|34762.29|2023-04-29|677|Specialized Equipment Rental expense for Project #677|54|Corporate Card|Paid
201|Fuel|176.27|2024-03-16|None|Fuel expense (Overhead)|55|ACH|Paid
202|Permits and Inspections|184940.1|2024-03-30|76|Permits and Inspections expense for Project #76|116|Wire Transfer|Paid
203|Permits and Inspections|113222.47|2022-02-26|909|Permits and Inspections expense for Project #909|169|Check|Paid
204|Specialized Equipment Rental|26605.09|2024-05-03|424|Specialized Equipment Rental expense for Project #424|57|Check|Paid
205|Office Supplies|1260.9|2020-03-27|None|Office Supplies expense (Overhead)|140|ACH|Paid
206|Design Services|53390.88|2021-05-22|509|Design Services expense for Project #509|189|ACH|Paid
207|Premium Vehicle Fleet|4297.4|2020-01-04|None|Premium Vehicle Fleet expense (Overhead)|69|Check|Paid
208|Client Entertainment|1191.37|2021-03-30|None|Client Entertainment expense (Overhead)|106|ACH|Paid
209|Subcontractor Fees|6618.19|2024-10-17|807|Subcontractor Fees expense for Project #807|57|Check|Paid
210|Vehicle Maintenance|9371.24|2023-09-15|None|Vehicle Maintenance expense (Overhead)|58|Corporate Card|Paid
211|Design Services|190982.38|2023-11-03|715|Design Services expense for Project #715|109|Corporate Card|Paid
212|Premium Materials|73622.46|2022-08-24|405|Premium Materials expense for Project #405|189|ACH|Paid
213|High-End Test Equipment|244.46|2024-06-30|None|High-End Test Equipment expense (Overhead)|142|Check|Paid
214|Subcontractor Fees|26926.22|2025-02-07|778|Subcontractor Fees expense for Project #778|142|Wire Transfer|Paid
215|High-End Test Equipment|3498.65|2023-08-03|None|High-End Test Equipment expense (Overhead)|54|ACH|Paid
216|Advanced Training Programs|3147.94|2023-02-27|None|Advanced Training Programs expense (Overhead)|9|Wire Transfer|Paid
217|Programming Services|92629.73|2025-04-05|723|Programming Services expense for Project #723|21|Corporate Card|Unpaid
218|Design Services|23287.65|2024-09-29|1185|Design Services expense for Project #1185|164|Check|Paid
219|Professional Association Dues|4595.45|2022-08-02|None|Professional Association Dues expense (Overhead)|106|Wire Transfer|Paid
220|Design Services|67841.72|2023-07-23|409|Design Services expense for Project #409|125|ACH|Paid
221|Travel & Lodging (Project Specific)|64666.43|2024-11-28|66|Travel & Lodging (Project Specific) expense for Project #66|196|Wire Transfer|Paid
222|Programming Services|85710.72|2025-02-26|918|Programming Services expense for Project #918|140|Corporate Card|Paid
223|Travel & Lodging (Project Specific)|38253.8|2024-04-18|283|Travel & Lodging (Project Specific) expense for Project #283|54|Check|Paid
224|Programming Services|39816.13|2023-12-29|173|Programming Services expense for Project #173|172|Check|Paid
225|Client Entertainment|3111.52|2025-03-05|None|Client Entertainment expense (Overhead)|190|Corporate Card|Paid
226|Professional Association Dues|2236.28|2021-09-29|None|Professional Association Dues expense (Overhead)|61|ACH|Paid
227|Specialized Equipment Rental|143671.31|2024-08-15|588|Specialized Equipment Rental expense for Project #588|54|ACH|Paid
228|Specialized Equipment Rental|78022.88|2023-12-30|169|Specialized Equipment Rental expense for Project #169|142|ACH|Paid
229|Design Services|34222.64|2021-03-07|386|Design Services expense for Project #386|124|ACH|Paid
230|Specialized Equipment Rental|32155.15|2022-02-13|197|Specialized Equipment Rental expense for Project #197|142|Check|Paid
231|Permits and Inspections|94833.04|2022-11-21|248|Permits and Inspections expense for Project #248|140|Check|Paid
232|Vehicle Maintenance|2088.82|2020-07-13|None|Vehicle Maintenance expense (Overhead)|61|Corporate Card|Paid
233|Design Services|8074.82|2023-08-01|1182|Design Services expense for Project #1182|57|Corporate Card|Paid
234|Specialized Equipment Rental|83959.24|2025-03-17|468|Specialized Equipment Rental expense for Project #468|164|Wire Transfer|Unpaid
235|Premium Materials|99810.78|2023-02-26|1010|Premium Materials expense for Project #1010|58|Check|Paid
236|Programming Services|31948.49|2024-03-18|272|Programming Services expense for Project #272|196|Wire Transfer|Paid
237|Utilities|5555.75|2025-01-24|None|Utilities expense (Overhead)|9|Wire Transfer|Paid
238|Design Services|40713.8|2025-02-04|747|Design Services expense for Project #747|147|ACH|Paid
239|Premium Materials|54807.96|2024-10-15|393|Premium Materials expense for Project #393|124|Corporate Card|Paid
240|Trade Show Exhibitions|8033.23|2023-09-30|None|Trade Show Exhibitions expense (Overhead)|3|Check|Paid
241|Premium Vehicle Fleet|9745.42|2021-10-02|None|Premium Vehicle Fleet expense (Overhead)|169|Corporate Card|Paid
242|Design Services|43911.99|2024-09-20|1166|Design Services expense for Project #1166|125|ACH|Paid
243|Permits and Inspections|91254.62|2025-02-25|168|Permits and Inspections expense for Project #168|172|ACH|Paid
244|Specialized Equipment Rental|168584.09|2024-12-15|691|Specialized Equipment Rental expense for Project #691|Pending|ACH|Paid
245|Permits and Inspections|111815.31|2025-02-27|1101|Permits and Inspections expense for Project #1101|147|Wire Transfer|Paid
246|Permits and Inspections|139755.71|2024-01-19|113|Permits and Inspections expense for Project #113|57|Corporate Card|Paid
247|Trade Show Exhibitions|4151.82|2020-12-03|None|Trade Show Exhibitions expense (Overhead)|131|Corporate Card|Paid
248|Fuel|8187.85|2023-05-09|None|Fuel expense (Overhead)|131|Check|Paid
249|Programming Services|110533.63|2024-06-21|493|Programming Services expense for Project #493|131|Corporate Card|Paid
250|Programming Services|97059.96|2022-09-08|651|Programming Services expense for Project #651|116|Corporate Card|Paid
251|Fuel|3193.42|2024-02-19|None|Fuel expense (Overhead)|16|Check|Paid
252|Travel & Lodging (Project Specific)|104932.91|2021-10-31|746|Travel & Lodging (Project Specific) expense for Project #746|142|Check|Paid
253|Programming Services|30199.13|2024-01-24|875|Programming Services expense for Project #875|55|ACH|Paid
254|Marketing & Branding|5606.23|2023-10-03|None|Marketing & Branding expense (Overhead)|185|ACH|Paid
255|Design Services|199412.71|2022-08-20|1057|Design Services expense for Project #1057|189|Wire Transfer|Paid
256|Design Services|7112.63|2024-01-02|670|Design Services expense for Project #670|109|ACH|Paid
257|Specialized Equipment Rental|100099.5|2023-08-29|472|Specialized Equipment Rental expense for Project #472|16|ACH|Paid
258|Travel & Lodging (Project Specific)|54350.07|2024-01-30|1193|Travel & Lodging (Project Specific) expense for Project #1193|55|Wire Transfer|Paid
259|Travel & Lodging (Project Specific)|45731.18|2022-12-11|1165|Travel & Lodging (Project Specific) expense for Project #1165|55|Check|Paid
260|Permits and Inspections|61997.41|2021-09-26|351|Permits and Inspections expense for Project #351|125|Corporate Card|Paid
261|Travel & Lodging (Project Specific)|53133.91|2023-07-22|1176|Travel & Lodging (Project Specific) expense for Project #1176|Pending|Check|Paid
