InvoiceID|ProjectID|CustomerID|RelatedServiceID|InvoiceDate|DueDate|Amount|Status|PaymentDate|PaymentMethod
64|75|322|None|2022-02-28|2022-03-15|134279.57|Overdue|N/A|N/A
65|1030|263|None|2022-12-25|2023-01-24|107931.39|Overdue|N/A|N/A
66|466|521|None|2023-10-15|2023-11-29|84047.31|Overdue|N/A|N/A
67|975|297|None|2022-02-17|2022-04-03|148140.8|Paid|2022-04-12|ACH Transfer
68|1151|678|None|2023-03-08|2023-04-22|352487.5|Paid|2023-03-11|ACH Transfer
69|1018|725|None|2022-10-28|2022-11-27|47096.52|Paid|2022-11-07|Credit Card
70|459|668|None|2023-11-26|2023-12-11|123107.07|Paid|2023-12-14|Wire
71|101|685|None|2025-03-30|2025-05-14|214617.93|Paid|2025-04-08|Check
72|727|26|None|2022-04-01|2022-05-16|98070.62|Overdue|N/A|N/A
73|713|509|None|2024-09-15|2024-10-30|148538.49|Paid|2024-10-09|Wire
74|1121|285|None|2024-02-09|2024-03-25|71740.32|Paid|2024-03-24|Credit Card
75|406|673|None|2023-03-03|2023-03-18|9884.98|Paid|2023-03-16|Credit Card
76|665|269|None|2024-07-05|2024-08-19|140796.02|Paid|2024-08-29|ACH Transfer
77|307|329|None|2021-04-30|2021-05-15|153119.53|Paid|2021-05-28|Credit Card
78|179|635|None|2024-05-29|2024-06-13|96546.22|Paid|2024-06-26|Check
79|746|682|None|2021-12-07|2021-12-22|351055.06|Overdue|N/A|N/A
80|1176|489|None|2024-01-04|2024-02-18|145231.5|Paid|2024-01-10|Check
81|181|31|None|2025-01-17|2025-02-16|101754.12|Paid|2025-02-19|Credit Card
82|1181|538|None|2024-02-25|2024-03-11|222941.4|Paid|2024-03-15|ACH Transfer
83|860|303|None|2023-11-17|2024-01-01|143178.05|Paid|2023-11-23|Wire
84|639|318|None|2024-03-12|2024-03-27|134154.84|Overdue|N/A|N/A
85|401|707|None|2023-06-08|2023-06-23|95773.82|Paid|2023-06-21|Credit Card
86|42|682|None|2024-11-02|2024-12-17|359732.25|Paid|2024-12-03|Credit Card
87|522|441|None|2024-05-09|2024-05-24|443679.09|Overdue|N/A|N/A
88|1160|146|None|2023-07-28|2023-08-27|265951.54|Overdue|N/A|N/A
89|103|382|None|2025-05-09|2025-06-23|56421.45|Upcoming|N/A|N/A
90|238|199|None|2021-06-05|2021-06-20|86107.91|Overdue|N/A|N/A
91|406|673|None|2023-03-09|2023-04-23|19372.47|Paid|2023-04-20|ACH Transfer
92|190|187|None|2024-03-08|2024-04-07|179990.64|Overdue|N/A|N/A
93|104|1|None|2023-12-29|2024-01-13|81153.34|Paid|2024-01-10|Wire
94|357|203|None|2022-08-14|2022-09-13|65426.06|Paid|2022-08-15|ACH Transfer
95|263|432|None|2022-05-01|2022-06-15|33622.47|Paid|2022-06-14|Credit Card
96|660|520|None|2022-08-12|2022-09-26|86730.58|Paid|2022-09-20|ACH Transfer
97|265|584|None|2024-11-24|2024-12-09|324730.1|Paid|2024-12-19|Check
98|387|630|None|2023-12-15|2024-01-14|46484.55|Paid|2023-12-28|ACH Transfer
99|855|641|None|2023-03-13|2023-04-27|113227.94|Paid|2023-04-27|Wire
100|477|674|None|2022-02-02|2022-03-19|411428.18|Overdue|N/A|N/A
101|976|664|None|2024-01-15|2024-01-30|46159.35|Paid|2024-02-05|Credit Card
102|222|559|None|2022-05-18|2022-06-17|117758.73|Paid|2022-06-04|Wire
103|805|308|None|2023-03-24|2023-04-23|520724.64|Paid|2023-04-07|Check
104|679|140|None|2022-03-24|2022-04-08|356033.31|Overdue|N/A|N/A
105|1034|800|None|2022-02-13|2022-03-15|468874.48|Paid|2022-03-07|Wire
106|769|714|None|2022-06-21|2022-07-06|570252.61|Paid|2022-07-18|ACH Transfer
107|575|371|None|2022-09-15|2022-10-15|193986.89|Paid|2022-10-04|Credit Card
108|1002|787|None|2024-10-18|2024-12-02|162654.33|Paid|2024-12-16|Credit Card
109|336|342|None|2024-01-19|2024-03-04|71132.54|Paid|2024-03-06|Wire
110|517|637|None|2023-07-06|2023-08-05|125158.24|Paid|2023-07-28|Wire
111|291|142|None|2023-09-08|2023-10-23|28304.65|Paid|2023-09-14|Check
112|1178|754|None|2024-01-07|2024-02-21|54508.72|Overdue|N/A|N/A
113|461|773|None|2021-07-12|2021-08-26|39376.62|Paid|2021-07-25|Credit Card
114|956|209|None|2023-12-04|2023-12-19|214258.41|Paid|2023-12-08|ACH Transfer
115|331|480|None|2024-10-06|2024-11-20|245753.29|Paid|2024-11-23|Wire
116|147|500|None|2021-09-12|2021-10-12|110421.71|Paid|2021-09-30|Check
117|649|611|None|2021-10-30|2021-12-14|248011.57|Overdue|N/A|N/A
118|952|592|None|2023-08-07|2023-09-21|402167.56|Overdue|N/A|N/A
119|152|328|None|2022-09-01|2022-09-16|227106.52|Paid|2022-09-11|Credit Card
120|117|573|None|2021-09-15|2021-09-30|10529.69|Paid|2021-09-24|ACH Transfer
121|1126|723|None|2024-05-17|2024-07-01|32005.32|Paid|2024-05-23|ACH Transfer
122|775|333|None|2024-06-29|2024-08-13|361178.29|Overdue|N/A|N/A
123|866|158|None|2024-12-14|2025-01-13|96451.77|Overdue|N/A|N/A
124|318|123|None|2023-03-23|2023-04-22|29350.62|Overdue|N/A|N/A
125|993|320|None|2022-02-03|2022-03-05|24929.06|Paid|2022-02-23|Wire
126|238|199|None|2021-06-09|2021-07-24|194167.3|Paid|2021-07-07|Credit Card
127|253|210|None|2024-01-31|2024-02-15|53106.48|Overdue|N/A|N/A
128|278|776|None|2023-12-20|2024-01-04|71255.61|Paid|2024-01-13|Credit Card
129|208|52|None|2023-10-20|2023-11-19|396782.42|Overdue|N/A|N/A
130|551|758|None|2024-09-16|2024-10-01|40189.62|Paid|2024-10-10|Credit Card
131|1020|2|None|2022-06-24|2022-07-09|149753.61|Paid|2022-07-02|Wire
132|103|382|None|2025-05-09|2025-06-23|56893.87|Upcoming|N/A|N/A
133|256|756|None|2021-09-02|2021-10-02|97747.73|Paid|2021-09-10|Check
134|511|63|None|2024-01-14|2024-02-28|173327.49|Paid|2024-03-04|Wire
135|1104|646|None|2023-02-11|2023-03-13|167959.47|Paid|2023-02-26|ACH Transfer
136|1156|300|None|2021-11-28|2021-12-28|137407.71|Paid|2022-01-06|Credit Card
137|546|475|None|2021-06-01|2021-07-01|332978.25|Paid|2021-06-28|Credit Card
138|6|92|None|2022-08-05|2022-09-19|227300.06|Paid|2022-09-01|ACH Transfer
139|237|609|None|2023-02-25|2023-03-12|386470.58|Paid|2023-02-28|Check
140|789|532|None|2024-03-13|2024-03-28|205261.87|Paid|2024-04-12|Check
141|975|297|None|2022-02-26|2022-04-12|121411.16|Paid|2022-04-19|Credit Card
142|58|434|None|2025-02-28|2025-03-15|79036.67|Paid|2025-03-01|Credit Card
143|459|668|None|2023-11-21|2023-12-06|133570.49|Paid|2023-11-22|Check
144|298|434|None|2022-04-02|2022-05-02|56785.16|Overdue|N/A|N/A
145|19|707|None|2022-07-18|2022-08-17|50427.8|Paid|2022-08-01|ACH Transfer
146|81|694|None|2022-02-10|2022-02-25|344160.21|Paid|2022-02-23|Check
147|21|73|None|2024-10-27|2024-12-11|163380.89|Paid|2024-12-01|Credit Card
148|1166|279|None|2024-12-20|2025-01-04|81269.17|Paid|2024-12-31|Wire
149|730|272|None|2022-06-20|2022-08-04|166236.68|Paid|2022-08-03|ACH Transfer
150|300|310|None|2022-04-05|2022-05-05|186685.9|Paid|2022-05-20|ACH Transfer
151|1150|700|None|2022-10-15|2022-10-30|137533.13|Paid|2022-11-10|Check
152|1161|723|None|2024-07-23|2024-08-07|16536.03|Overdue|N/A|N/A
153|516|492|None|2024-12-14|2024-12-29|135177.31|Paid|2024-12-21|ACH Transfer
154|966|745|None|2022-09-12|2022-09-27|440220.07|Paid|2022-09-22|ACH Transfer
155|1131|629|None|2023-10-26|2023-12-10|135225.38|Paid|2023-11-05|Check
156|406|673|None|2023-03-07|2023-04-21|23604.69|Paid|2023-03-15|Credit Card
157|7|360|None|2025-02-03|2025-03-05|86334.38|Paid|2025-02-28|ACH Transfer
158|288|103|None|2024-03-15|2024-04-14|293014.29|Paid|2024-03-18|Credit Card
159|85|327|None|2025-05-09|2025-06-08|337773.23|Upcoming|N/A|N/A
160|376|792|None|2023-10-17|2023-12-01|185895.02|Overdue|N/A|N/A
161|370|379|None|2022-04-28|2022-05-28|133196.49|Paid|2022-05-09|ACH Transfer
162|8|766|None|2024-09-14|2024-09-29|336329.25|Paid|2024-09-17|Credit Card
163|213|62|None|2023-12-08|2023-12-23|25271.64|Paid|2023-12-15|ACH Transfer
164|865|302|None|2025-02-06|2025-02-21|29827.62|Paid|2025-02-14|Credit Card
165|1180|346|None|2025-05-09|2025-06-23|140614.9|Upcoming|N/A|N/A
166|100|670|None|2023-12-10|2023-12-25|112653.63|Paid|2023-12-27|Credit Card
167|67|140|None|2023-10-28|2023-11-27|49958.4|Paid|2023-11-18|Check
168|61|166|None|2024-04-09|2024-05-24|333836.31|Paid|2024-04-21|Check
169|582|126|None|2024-12-30|2025-01-14|176640.01|Paid|2025-01-09|ACH Transfer
170|1062|35|None|2025-02-08|2025-02-23|318681.68|Paid|2025-02-26|Wire
171|152|328|None|2022-08-26|2022-10-10|104293.16|Paid|2022-09-03|Wire
172|873|265|None|2023-12-15|2024-01-29|111278.43|Paid|2024-01-11|Wire
173|55|309|None|2024-01-02|2024-01-17|55511.77|Overdue|N/A|N/A
174|1160|146|None|2023-07-25|2023-08-24|88015.27|Paid|2023-09-03|Check
175|482|253|None|2023-08-02|2023-09-01|359453.45|Paid|2023-08-19|Check
176|348|681|None|2023-07-13|2023-08-12|36070.17|Paid|2023-07-15|Wire
177|438|144|None|2023-11-19|2023-12-19|137478.67|Paid|2023-12-21|Credit Card
178|318|123|None|2023-03-29|2023-05-13|46224.41|Paid|2023-05-03|Wire
179|136|140|None|2023-06-11|2023-07-11|430863.49|Paid|2023-06-25|Check
180|551|758|None|2024-09-19|2024-11-03|44882.77|Paid|2024-10-28|ACH Transfer
181|986|561|None|2022-02-22|2022-03-09|13273.61|Overdue|N/A|N/A
182|844|76|None|2022-01-19|2022-03-05|165944.36|Overdue|N/A|N/A
183|1133|443|None|2024-11-19|2025-01-03|134493.73|Paid|2024-12-16|Wire
184|681|683|None|2022-12-17|2023-01-01|278545.52|Overdue|N/A|N/A
185|1172|202|None|2025-05-09|2025-05-24|202562.37|Upcoming|N/A|N/A
186|575|371|None|2022-09-06|2022-10-21|164178.81|Paid|2022-10-12|ACH Transfer
187|771|69|None|2023-06-25|2023-08-09|42805.73|Overdue|N/A|N/A
188|335|518|None|2024-03-17|2024-04-01|142008.29|Overdue|N/A|N/A
189|864|100|None|2024-08-21|2024-10-05|221491.8|Paid|2024-09-13|Check
190|1108|658|None|2021-11-26|2021-12-26|402311.3|Overdue|N/A|N/A
191|163|584|None|2024-08-11|2024-09-25|9266.0|Paid|2024-08-23|Check
192|935|593|None|2023-10-10|2023-11-24|19591.11|Paid|2023-10-11|Check
193|774|734|None|2022-02-25|2022-03-12|52286.99|Paid|2022-03-17|Check
194|1036|632|None|2021-06-25|2021-07-10|43036.32|Paid|2021-07-16|Credit Card
195|1076|729|None|2025-01-16|2025-03-02|159737.23|Overdue|N/A|N/A
196|205|386|None|2025-05-09|2025-05-24|275974.29|Upcoming|N/A|N/A
197|558|10|None|2024-09-17|2024-10-17|124247.81|Paid|2024-09-24|Check
198|531|309|None|2023-05-08|2023-06-22|99461.05|Paid|2023-07-04|Wire
199|127|315|None|2024-11-27|2024-12-27|147853.24|Overdue|N/A|N/A
200|895|452|None|2025-03-02|2025-04-16|98135.09|Paid|2025-03-08|ACH Transfer
201|991|434|None|2022-02-25|2022-03-27|180988.92|Paid|2022-04-08|Credit Card
202|529|222|None|2023-03-16|2023-04-30|232736.13|Overdue|N/A|N/A
203|2|500|None|2025-05-09|2025-06-23|344703.7|Upcoming|N/A|N/A
204|914|537|None|2025-01-27|2025-02-11|99775.57|Paid|2025-01-30|Wire
205|824|367|None|2024-01-28|2024-02-27|222353.45|Overdue|N/A|N/A
206|771|69|None|2023-06-17|2023-08-01|80407.06|Paid|2023-08-12|Check
207|917|792|None|2024-03-16|2024-04-15|72608.67|Paid|2024-04-20|ACH Transfer
208|832|758|None|2022-10-21|2022-12-05|292567.51|Overdue|N/A|N/A
209|156|239|None|2021-03-24|2021-04-23|66006.75|Paid|2021-03-26|Credit Card
210|237|609|None|2023-02-21|2023-03-23|174615.66|Paid|2023-04-03|Check
211|952|592|None|2023-07-30|2023-09-13|375189.14|Paid|2023-09-09|Credit Card
212|964|1|None|2022-09-05|2022-10-20|141184.04|Paid|2022-10-26|ACH Transfer
213|17|428|None|2025-04-21|2025-06-05|105795.98|Upcoming|N/A|N/A
214|250|591|None|2022-02-27|2022-03-14|445193.2|Paid|2022-03-10|Check
215|756|334|None|2024-02-01|2024-03-17|147826.24|Paid|2024-02-06|Wire
216|771|69|None|2023-06-25|2023-08-09|77456.0|Overdue|N/A|N/A
217|828|11|None|2025-03-14|2025-04-28|217365.58|Outstanding|N/A|N/A
218|1138|756|None|2025-01-16|2025-03-02|101929.68|Paid|2025-02-10|Check
219|686|180|None|2022-12-27|2023-01-11|186010.98|Paid|2023-01-13|ACH Transfer
220|1020|2|None|2022-06-14|2022-06-29|349990.87|Overdue|N/A|N/A
221|477|674|None|2022-02-06|2022-03-23|319226.36|Paid|2022-02-28|Check
222|550|315|None|2023-03-18|2023-04-02|99350.53|Overdue|N/A|N/A
223|523|27|None|2024-03-30|2024-04-14|262404.94|Overdue|N/A|N/A
224|960|512|None|2021-10-07|2021-11-06|273844.09|Overdue|N/A|N/A
225|1127|539|None|2022-04-25|2022-05-10|32046.93|Paid|2022-05-09|Check
226|278|776|None|2023-12-18|2024-01-17|224429.93|Overdue|N/A|N/A
227|11|361|None|2024-03-03|2024-04-17|111469.99|Paid|2024-04-04|ACH Transfer
228|507|432|None|2022-04-18|2022-05-18|51177.28|Paid|2022-05-04|Wire
229|174|52|None|2024-11-22|2024-12-22|496987.64|Paid|2024-12-12|ACH Transfer
230|113|98|None|2024-01-30|2024-02-29|140526.69|Paid|2024-03-15|Wire
231|253|210|None|2024-02-09|2024-03-25|117673.53|Paid|2024-03-01|Check
232|476|147|None|2024-09-02|2024-10-02|188731.9|Overdue|N/A|N/A
233|7|360|None|2025-02-02|2025-03-19|32793.51|Overdue|N/A|N/A
234|27|9|None|2024-09-03|2024-09-18|33923.28|Paid|2024-09-11|Check
235|81|694|None|2022-02-10|2022-02-25|105963.09|Paid|2022-03-05|Wire
236|891|330|None|2021-12-28|2022-01-27|100144.04|Paid|2022-02-06|Check
237|516|492|None|2024-12-21|2025-01-20|160550.94|Paid|2025-01-05|Check
238|613|392|None|2022-08-15|2022-08-30|99118.86|Paid|2022-08-21|Check
239|485|9|None|2025-05-09|2025-06-23|110967.4|Upcoming|N/A|N/A
240|183|243|None|2025-05-09|2025-06-08|185172.26|Upcoming|N/A|N/A
241|55|309|None|2023-12-23|2024-01-22|59524.62|Paid|2024-01-25|ACH Transfer
242|923|668|None|2025-02-06|2025-03-08|157019.8|Overdue|N/A|N/A
243|184|404|None|2024-02-21|2024-03-07|255425.1|Paid|2024-03-14|Wire
244|577|259|None|2021-07-08|2021-08-07|69510.83|Paid|2021-07-31|Credit Card
245|175|711|None|2024-11-15|2024-12-30|47209.58|Paid|2024-12-23|Check
246|1173|565|None|2022-07-13|2022-08-27|168908.05|Paid|2022-09-03|Wire
247|371|239|None|2024-12-28|2025-01-12|113133.69|Paid|2025-01-15|ACH Transfer
248|693|44|None|2025-04-07|2025-05-22|347204.69|Paid|2025-04-09|Credit Card
249|729|82|None|2022-03-02|2022-03-17|502260.2|Paid|2022-03-30|ACH Transfer
250|660|520|None|2022-08-10|2022-08-25|145247.86|Paid|2022-08-22|ACH Transfer
251|1147|416|None|2022-01-16|2022-01-31|87851.07|Paid|2022-01-24|Wire
252|964|1|None|2022-08-25|2022-10-09|163278.89|Paid|2022-10-05|Wire
253|1133|443|None|2024-11-17|2025-01-01|130555.26|Paid|2025-01-11|Credit Card
254|577|259|None|2021-07-18|2021-08-17|33778.9|Paid|2021-08-26|ACH Transfer
255|533|26|None|2022-12-08|2023-01-07|428251.77|Paid|2023-01-02|ACH Transfer
256|669|191|None|2021-08-06|2021-09-05|23185.2|Paid|2021-09-06|Wire
257|150|271|None|2023-02-26|2023-03-28|175317.27|Paid|2023-02-27|Wire
258|663|546|None|2022-10-08|2022-10-23|41622.88|Paid|2022-10-31|ACH Transfer
259|583|443|None|2022-05-20|2022-07-04|188067.36|Paid|2022-05-21|Check
260|405|408|None|2022-08-21|2022-09-05|213415.0|Overdue|N/A|N/A
261|775|333|None|2024-06-22|2024-07-22|470686.13|Paid|2024-07-18|Credit Card
262|1004|390|None|2021-10-17|2021-12-01|131210.31|Overdue|N/A|N/A
263|977|743|None|2025-04-16|2025-05-16|114668.87|Upcoming|N/A|N/A
264|10|264|None|2025-03-11|2025-04-10|315068.98|Outstanding|N/A|N/A
265|800|691|None|2022-03-03|2022-04-02|151910.9|Overdue|N/A|N/A
266|615|185|None|2024-05-14|2024-05-29|271795.18|Paid|2024-05-23|Credit Card
267|345|450|None|2021-08-22|2021-09-21|98553.57|Paid|2021-09-14|Credit Card
268|113|98|None|2024-01-31|2024-03-16|353244.8|Paid|2024-03-06|Credit Card
269|993|320|None|2022-02-02|2022-03-04|65405.66|Paid|2022-02-21|Check
270|832|758|None|2022-10-13|2022-11-27|285636.78|Paid|2022-10-25|Wire
271|509|768|None|2021-07-21|2021-09-04|105843.16|Overdue|N/A|N/A
272|169|403|None|2024-01-31|2024-03-16|60606.39|Paid|2024-03-07|Wire
273|1199|257|None|2021-05-31|2021-06-30|299012.77|Paid|2021-06-29|Wire
274|50|547|None|2022-07-26|2022-08-10|224090.85|Paid|2022-07-29|Wire
275|246|379|None|2022-08-21|2022-09-20|238395.17|Overdue|N/A|N/A
276|425|116|None|2024-06-06|2024-07-21|18265.29|Overdue|N/A|N/A
277|920|95|None|2024-07-10|2024-08-09|412381.17|Paid|2024-08-23|Credit Card
278|1171|397|None|2021-10-22|2021-12-06|150491.44|Paid|2021-11-08|Wire
279|121|356|None|2023-05-17|2023-07-01|129892.49|Paid|2023-07-12|Credit Card
280|446|246|None|2023-02-20|2023-03-07|244023.57|Overdue|N/A|N/A
281|1138|756|None|2025-01-19|2025-02-18|43677.53|Overdue|N/A|N/A
282|353|252|None|2023-08-04|2023-09-18|288911.85|Paid|2023-09-17|Credit Card
283|578|277|None|2022-09-15|2022-10-30|176180.69|Paid|2022-10-28|ACH Transfer
284|472|619|None|2023-12-22|2024-02-05|131359.31|Paid|2024-01-04|Wire
285|189|601|None|2022-09-08|2022-09-23|223580.26|Paid|2022-09-10|Credit Card
286|1090|86|None|2025-05-09|2025-06-23|187181.84|Upcoming|N/A|N/A
287|780|708|None|2024-06-26|2024-07-11|270111.13|Paid|2024-07-20|ACH Transfer
288|351|247|None|2021-12-12|2022-01-26|154498.75|Paid|2021-12-14|ACH Transfer
289|947|477|None|2021-12-27|2022-01-11|262114.29|Paid|2022-01-01|Credit Card
290|756|334|None|2024-01-29|2024-02-13|184390.36|Paid|2024-02-03|Credit Card
291|1013|774|None|2025-02-28|2025-03-15|195643.79|Paid|2025-03-23|Credit Card
292|15|398|None|2025-04-06|2025-05-06|102976.34|Paid|2025-04-09|ACH Transfer
293|163|584|None|2024-08-16|2024-08-31|29535.78|Paid|2024-08-26|Credit Card
294|626|478|None|2022-09-25|2022-10-10|15766.08|Paid|2022-10-05|Credit Card
295|862|734|None|2024-02-10|2024-03-11|147846.92|Paid|2024-02-29|Wire
296|820|310|None|2023-01-13|2023-01-28|258664.56|Paid|2023-01-29|Credit Card
297|752|420|None|2022-07-07|2022-07-22|133769.74|Paid|2022-07-30|Credit Card
298|1053|738|None|2023-06-14|2023-07-29|153842.42|Paid|2023-07-06|Check
299|833|765|None|2022-01-04|2022-02-03|16905.0|Paid|2022-01-17|Credit Card
300|957|279|None|2022-02-12|2022-03-29|104557.24|Paid|2022-03-16|Credit Card
301|313|15|None|2023-03-25|2023-05-09|199052.26|Paid|2023-04-03|ACH Transfer
302|274|660|None|2022-07-25|2022-09-08|100160.72|Paid|2022-09-17|Credit Card
303|193|733|None|2024-02-07|2024-03-23|243623.15|Paid|2024-02-21|ACH Transfer
304|509|768|None|2021-07-21|2021-08-05|69922.53|Paid|2021-08-08|Check
305|425|116|None|2024-05-28|2024-06-12|24310.85|Paid|2024-06-17|ACH Transfer
306|717|419|None|2021-11-28|2021-12-28|213164.0|Overdue|N/A|N/A
307|262|395|None|2021-04-06|2021-05-06|85000.85|Paid|2021-04-10|Wire
308|261|540|None|2023-05-28|2023-06-12|166712.12|Overdue|N/A|N/A
309|756|334|None|2024-02-10|2024-02-25|86842.23|Paid|2024-02-22|ACH Transfer
310|553|133|None|2024-10-13|2024-11-27|91826.25|Overdue|N/A|N/A
311|400|246|None|2024-02-27|2024-04-12|74294.01|Overdue|N/A|N/A
312|673|498|None|2025-02-15|2025-03-17|21416.88|Paid|2025-02-26|Check
313|545|561|None|2021-12-12|2022-01-11|104030.35|Paid|2021-12-20|Credit Card
314|937|193|None|2022-03-23|2022-04-22|272555.41|Paid|2022-05-01|Wire
315|575|371|None|2022-09-17|2022-11-01|166881.35|Paid|2022-10-03|Wire
316|121|356|None|2023-05-23|2023-06-22|163612.23|Paid|2023-07-03|ACH Transfer
317|651|106|None|2022-11-14|2022-11-29|281571.05|Paid|2022-12-01|Check
318|10|264|None|2025-03-19|2025-04-18|324645.9|Paid|2025-04-02|Wire
319|855|641|None|2023-03-11|2023-04-25|183965.07|Paid|2023-04-05|Credit Card
320|471|271|None|2024-10-10|2024-10-25|54740.66|Paid|2024-11-08|ACH Transfer
321|1144|74|None|2021-10-10|2021-10-25|89962.5|Paid|2021-10-26|Credit Card
322|653|769|None|2024-04-06|2024-05-06|73711.85|Paid|2024-05-16|ACH Transfer
323|448|118|None|2021-06-26|2021-07-11|50894.57|Overdue|N/A|N/A
324|1018|725|None|2022-10-28|2022-11-12|46036.85|Paid|2022-10-29|Check
325|1076|729|None|2025-01-19|2025-03-05|188520.86|Paid|2025-03-11|Wire
