ChangeOrderID|ProjectID|RequestDate|Type|Description|OriginalSpec|NewSpec|Amount|Status|TimelineImpactDays|ApprovedBy
29|394|2024-11-16|Material Substitution|Material Substitution - Technical requirement|Standard components|Upgraded materials|21956.0|Pending|0|N/A
30|727|2022-01-10|Add Zone Coverage|Add Zone Coverage - Designer specification|Included materials|Extended coverage|9779.0|Approved|14|3
31|301|2022-07-08|Add Equipment|Add Equipment - Unforeseen condition|Basic system|Upgraded materials|21691.34|Approved|3|169
33|335|2024-02-12|Design Change|Design Change - Client request|Standard components|Enhanced system|26213.57|Approved|13|196
34|864|2024-08-06|Additional Programming|Additional Programming - Designer specification|Basic system|Premium components|33543.78|Approved|6|141
35|407|2023-03-01|Material Substitution|Material Substitution - Client request|Standard components|Extended coverage|2283.8|Approved|1|58
36|454|2025-01-28|Material Substitution|Material Substitution - Technical requirement|Standard components|Upgraded materials|884.94|Approved|12|21
37|73|2021-12-01|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Limited zones|Enhanced system|11182.67|Approved|19|69
38|1104|2022-11-22|Design Change|Design Change - Designer specification|Included materials|Upgraded materials|15959.02|Approved|8|21
39|113|2023-11-17|Additional Programming|Additional Programming - Designer specification|Included materials|Upgraded materials|36346.28|Approved|16|57
40|948|2023-10-30|Additional Features|Additional Features - Unforeseen condition|Included materials|Premium components|19728.26|Approved|12|109
41|739|2025-03-12|Add Equipment|Add Equipment - Unforeseen condition|Basic system|Premium components|10306.8|Approved|14|141
42|912|2024-08-15|Additional Features|Additional Features - Client request|Limited zones|Extended coverage|13922.59|Pending|0|N/A
43|190|2024-02-14|Add Zone Coverage|Add Zone Coverage - Designer specification|Basic system|Premium components|51966.85|Approved|14|196
44|762|2024-08-26|Additional Features|Additional Features - Client request|Standard components|Premium components|11892.89|Approved|18|116
45|555|2025-03-21|Material Substitution|Material Substitution - Technical requirement|Included materials|Upgraded materials|6047.24|Approved|1|140
46|232|2023-03-02|Add Zone Coverage|Add Zone Coverage - Technical requirement|Standard components|Extended coverage|10511.72|Approved|8|131
47|819|2022-07-07|Add Equipment|Add Equipment - Client request|Included materials|Premium components|4775.51|Approved|2|189
48|877|2024-07-01|Design Change|Design Change - Designer specification|Limited zones|Enhanced system|28502.08|Approved|5|131
49|535|2022-12-06|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Limited zones|Upgraded materials|36006.8|Approved|18|190
50|407|2023-01-24|Design Change|Design Change - Designer specification|Included materials|Enhanced system|7946.28|Approved|12|56
51|454|2024-08-18|Add Equipment|Add Equipment - Designer specification|Standard components|Upgraded materials|5284.74|Approved|19|21
52|626|2022-08-24|Material Substitution|Material Substitution - Client request|Standard components|Extended coverage|5229.43|Pending|0|N/A
53|229|2025-03-20|Additional Programming|Additional Programming - Technical requirement|Standard components|Premium components|2161.52|Approved|10|106
54|165|2024-08-06|Additional Programming|Additional Programming - Designer specification|Standard components|Upgraded materials|19318.15|Approved|6|75
55|467|2022-12-21|Additional Features|Additional Features - Designer specification|Standard components|Extended coverage|3539.93|Approved|13|131
56|391|2024-05-28|Additional Programming|Additional Programming - Designer specification|Standard components|Extended coverage|15151.9|Approved|6|190
57|731|2025-02-25|Upgrade Components|Upgrade Components - Client request|Standard components|Extended coverage|17561.08|Approved|4|109
58|521|2024-06-13|Additional Programming|Additional Programming - Designer specification|Standard components|Upgraded materials|1797.36|Rejected|0|N/A
59|1050|2024-12-05|Additional Features|Additional Features - Unforeseen condition|Included materials|Upgraded materials|24244.48|Rejected|0|N/A
60|536|2024-12-04|Additional Programming|Additional Programming - Client request|Included materials|Premium components|10925.03|Approved|18|164
61|48|2021-04-09|Design Change|Design Change - Technical requirement|Limited zones|Upgraded materials|4551.37|Approved|14|190
62|278|2023-11-09|Design Change|Design Change - Unforeseen condition|Basic system|Enhanced system|23943.61|Approved|18|3
63|1075|2023-01-10|Add Equipment|Add Equipment - Client request|Standard components|Premium components|47432.85|Approved|6|164
64|239|2023-09-20|Upgrade Components|Upgrade Components - Client request|Basic system|Extended coverage|42158.36|Approved|10|9
65|522|2024-02-29|Upgrade Components|Upgrade Components - Client request|Standard components|Upgraded materials|6088.4|Approved|14|69
66|1161|2024-05-31|Additional Programming|Additional Programming - Unforeseen condition|Standard components|Enhanced system|2054.99|Approved|20|125
67|559|2023-10-15|Additional Features|Additional Features - Technical requirement|Basic system|Premium components|6112.82|Approved|6|133
68|30|2021-08-09|Upgrade Components|Upgrade Components - Technical requirement|Basic system|Enhanced system|7890.9|Rejected|0|N/A
69|1180|2025-03-29|Upgrade Components|Upgrade Components - Designer specification|Basic system|Extended coverage|28343.27|Approved|10|169
70|545|2021-06-17|Additional Features|Additional Features - Technical requirement|Standard components|Enhanced system|8837.79|Approved|2|55
71|719|2022-11-30|Material Substitution|Material Substitution - Designer specification|Included materials|Upgraded materials|39859.59|Approved|15|164
72|1136|2024-04-26|Material Substitution|Material Substitution - Technical requirement|Included materials|Extended coverage|14574.2|Approved|4|116
73|497|2024-04-08|Material Substitution|Material Substitution - Unforeseen condition|Included materials|Extended coverage|9197.99|Approved|8|61
74|907|2023-03-19|Additional Programming|Additional Programming - Unforeseen condition|Limited zones|Enhanced system|22614.84|Pending|0|N/A
75|1057|2022-09-17|Upgrade Components|Upgrade Components - Unforeseen condition|Basic system|Enhanced system|38677.14|Approved|10|141
76|1012|2022-10-20|Additional Features|Additional Features - Unforeseen condition|Limited zones|Extended coverage|9844.64|Approved|6|164
77|307|2021-03-24|Design Change|Design Change - Technical requirement|Basic system|Enhanced system|16706.1|Approved|14|133
78|1032|2024-02-08|Upgrade Components|Upgrade Components - Client request|Limited zones|Upgraded materials|32115.56|Approved|19|142
79|242|2024-10-02|Additional Programming|Additional Programming - Designer specification|Limited zones|Extended coverage|20181.82|Approved|18|61
80|1147|2021-12-24|Add Equipment|Add Equipment - Client request|Basic system|Upgraded materials|1885.86|Approved|14|57
81|844|2021-11-23|Additional Features|Additional Features - Technical requirement|Limited zones|Enhanced system|38212.69|Pending|0|N/A
82|451|2025-03-09|Add Zone Coverage|Add Zone Coverage - Client request|Included materials|Extended coverage|22609.36|Rejected|0|N/A
83|509|2021-06-03|Additional Programming|Additional Programming - Client request|Limited zones|Upgraded materials|9944.25|Approved|14|190
84|1099|2022-08-06|Design Change|Design Change - Unforeseen condition|Limited zones|Enhanced system|6390.27|Approved|12|56
85|472|2023-08-13|Additional Features|Additional Features - Client request|Included materials|Premium components|20321.83|Approved|17|21
86|208|2023-09-23|Add Zone Coverage|Add Zone Coverage - Designer specification|Standard components|Enhanced system|19116.71|Approved|0|116
87|779|2021-04-28|Upgrade Components|Upgrade Components - Designer specification|Limited zones|Premium components|14673.91|Rejected|0|N/A
88|1017|2022-09-12|Material Substitution|Material Substitution - Unforeseen condition|Limited zones|Enhanced system|6937.67|Rejected|0|N/A
89|528|2022-10-18|Design Change|Design Change - Client request|Basic system|Premium components|4416.84|Approved|14|58
90|304|2024-09-24|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Standard components|Enhanced system|1891.78|Approved|3|109
91|522|2024-03-14|Material Substitution|Material Substitution - Technical requirement|Basic system|Extended coverage|42789.91|Approved|3|196
92|813|2023-06-08|Additional Programming|Additional Programming - Client request|Included materials|Enhanced system|48102.76|Approved|6|9
93|492|2023-07-30|Add Zone Coverage|Add Zone Coverage - Technical requirement|Limited zones|Upgraded materials|3192.92|Approved|5|164
94|735|2025-01-04|Additional Features|Additional Features - Unforeseen condition|Basic system|Enhanced system|14412.02|Approved|9|106
95|785|2023-12-09|Additional Programming|Additional Programming - Client request|Included materials|Upgraded materials|1343.6|Approved|12|169
96|868|2025-01-26|Additional Programming|Additional Programming - Technical requirement|Limited zones|Enhanced system|7376.71|Approved|16|125
97|785|2023-07-28|Upgrade Components|Upgrade Components - Technical requirement|Included materials|Upgraded materials|5131.46|Approved|8|21
98|718|2024-11-18|Additional Programming|Additional Programming - Client request|Limited zones|Extended coverage|7157.59|Approved|0|116
99|813|2023-07-26|Add Equipment|Add Equipment - Technical requirement|Standard components|Premium components|29218.16|Approved|7|75
100|551|2024-07-12|Design Change|Design Change - Designer specification|Standard components|Premium components|3216.55|Approved|14|106
101|525|2023-07-17|Add Equipment|Add Equipment - Designer specification|Basic system|Enhanced system|32899.39|Approved|19|142
102|900|2024-07-07|Add Zone Coverage|Add Zone Coverage - Technical requirement|Basic system|Upgraded materials|23214.16|Approved|1|164
103|668|2023-04-05|Additional Programming|Additional Programming - Client request|Included materials|Premium components|18828.83|Approved|4|56
104|807|2024-11-14|Add Equipment|Add Equipment - Designer specification|Limited zones|Premium components|1076.3|Approved|8|124
105|837|2023-06-15|Design Change|Design Change - Client request|Basic system|Extended coverage|11507.49|Approved|13|106
106|148|2024-09-24|Additional Features|Additional Features - Client request|Standard components|Upgraded materials|14262.19|Approved|13|125
107|26|2024-05-11|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Included materials|Upgraded materials|1207.29|Approved|6|69
108|374|2024-01-07|Additional Programming|Additional Programming - Technical requirement|Limited zones|Upgraded materials|20215.45|Approved|16|172
109|681|2022-11-30|Add Equipment|Add Equipment - Unforeseen condition|Included materials|Enhanced system|16593.71|Approved|15|172
110|401|2023-05-06|Additional Programming|Additional Programming - Client request|Included materials|Enhanced system|28808.97|Approved|10|55
111|181|2024-11-27|Add Equipment|Add Equipment - Unforeseen condition|Limited zones|Upgraded materials|3526.24|Approved|18|172
112|974|2023-07-22|Additional Programming|Additional Programming - Technical requirement|Basic system|Premium components|22878.82|Approved|6|116
113|965|2024-09-24|Additional Programming|Additional Programming - Designer specification|Basic system|Premium components|15607.85|Pending|0|N/A
114|895|2024-12-02|Additional Programming|Additional Programming - Unforeseen condition|Limited zones|Premium components|18081.65|Approved|12|69
115|1130|2024-01-01|Additional Programming|Additional Programming - Client request|Limited zones|Upgraded materials|6573.23|Approved|20|57
116|653|2024-03-08|Material Substitution|Material Substitution - Designer specification|Basic system|Extended coverage|4355.84|Approved|10|21
117|493|2024-02-29|Material Substitution|Material Substitution - Unforeseen condition|Basic system|Premium components|51349.61|Approved|20|58
118|777|2024-10-31|Design Change|Design Change - Designer specification|Limited zones|Extended coverage|13970.43|Approved|15|172
119|347|2023-07-20|Design Change|Design Change - Technical requirement|Limited zones|Premium components|499.16|Approved|7|164
120|676|2022-04-18|Additional Programming|Additional Programming - Technical requirement|Basic system|Extended coverage|16488.49|Approved|5|169
121|281|2023-10-05|Upgrade Components|Upgrade Components - Technical requirement|Limited zones|Premium components|6094.9|Approved|12|54
122|908|2021-09-10|Additional Programming|Additional Programming - Unforeseen condition|Standard components|Premium components|35491.88|Pending|0|N/A
123|402|2022-01-17|Additional Programming|Additional Programming - Unforeseen condition|Standard components|Extended coverage|24061.39|Approved|0|124
124|1200|2022-01-06|Add Zone Coverage|Add Zone Coverage - Designer specification|Standard components|Premium components|10855.46|Approved|13|54
125|560|2025-03-04|Upgrade Components|Upgrade Components - Unforeseen condition|Limited zones|Enhanced system|6593.69|Rejected|0|N/A
126|898|2022-12-14|Upgrade Components|Upgrade Components - Unforeseen condition|Limited zones|Upgraded materials|2242.89|Approved|4|61
127|357|2022-05-09|Material Substitution|Material Substitution - Technical requirement|Basic system|Enhanced system|7817.95|Approved|0|133
128|580|2023-03-03|Add Zone Coverage|Add Zone Coverage - Designer specification|Limited zones|Premium components|31157.65|Approved|18|21
129|132|2021-05-11|Material Substitution|Material Substitution - Technical requirement|Basic system|Upgraded materials|14729.57|Approved|2|55
130|47|2023-07-12|Add Zone Coverage|Add Zone Coverage - Client request|Limited zones|Upgraded materials|39058.62|Approved|10|61
131|241|2025-04-07|Add Equipment|Add Equipment - Technical requirement|Standard components|Enhanced system|5715.4|Pending|0|N/A
132|423|2024-07-24|Add Zone Coverage|Add Zone Coverage - Technical requirement|Standard components|Premium components|5209.85|Approved|6|3
133|1156|2021-09-21|Upgrade Components|Upgrade Components - Client request|Basic system|Enhanced system|11959.98|Pending|0|N/A
134|590|2021-07-29|Design Change|Design Change - Technical requirement|Basic system|Premium components|15171.66|Approved|4|124
135|993|2021-11-22|Material Substitution|Material Substitution - Technical requirement|Standard components|Premium components|7757.63|Approved|7|75
136|1106|2022-03-17|Additional Programming|Additional Programming - Designer specification|Included materials|Extended coverage|5022.57|Approved|14|61
137|545|2021-06-26|Add Zone Coverage|Add Zone Coverage - Designer specification|Standard components|Enhanced system|10472.43|Approved|20|116
138|624|2022-04-08|Add Zone Coverage|Add Zone Coverage - Technical requirement|Basic system|Extended coverage|8784.88|Rejected|0|N/A
139|801|2023-09-19|Additional Features|Additional Features - Technical requirement|Basic system|Enhanced system|2817.28|Rejected|0|N/A
140|264|2023-09-21|Add Zone Coverage|Add Zone Coverage - Designer specification|Basic system|Premium components|6417.71|Approved|2|190
141|304|2024-11-22|Material Substitution|Material Substitution - Technical requirement|Included materials|Upgraded materials|23130.48|Approved|20|109
142|1109|2022-06-20|Upgrade Components|Upgrade Components - Client request|Limited zones|Enhanced system|13867.79|Approved|20|58
143|917|2024-01-20|Upgrade Components|Upgrade Components - Technical requirement|Limited zones|Upgraded materials|27886.48|Approved|9|172
144|420|2023-01-08|Design Change|Design Change - Unforeseen condition|Limited zones|Premium components|6934.08|Approved|2|57
145|119|2023-06-03|Design Change|Design Change - Unforeseen condition|Standard components|Premium components|21338.51|Approved|19|190
146|864|2024-08-09|Design Change|Design Change - Client request|Limited zones|Enhanced system|43330.16|Approved|0|147
147|139|2023-04-19|Material Substitution|Material Substitution - Technical requirement|Basic system|Upgraded materials|9733.68|Approved|14|124
148|673|2025-01-26|Add Equipment|Add Equipment - Designer specification|Limited zones|Premium components|2934.67|Rejected|0|N/A
149|597|2021-12-12|Design Change|Design Change - Client request|Included materials|Extended coverage|51718.61|Approved|19|172
150|303|2021-12-29|Additional Programming|Additional Programming - Designer specification|Included materials|Premium components|16554.38|Approved|3|142
151|801|2023-07-14|Additional Features|Additional Features - Technical requirement|Standard components|Enhanced system|27231.1|Approved|13|185
152|128|2023-08-26|Additional Features|Additional Features - Unforeseen condition|Limited zones|Extended coverage|20048.51|Approved|3|116
153|433|2024-01-30|Additional Features|Additional Features - Technical requirement|Included materials|Premium components|2689.25|Rejected|0|N/A
154|89|2023-01-14|Design Change|Design Change - Technical requirement|Basic system|Premium components|4757.58|Rejected|0|N/A
155|315|2024-02-22|Upgrade Components|Upgrade Components - Unforeseen condition|Standard components|Extended coverage|40261.75|Approved|2|185
156|521|2024-11-27|Add Equipment|Add Equipment - Client request|Standard components|Upgraded materials|10652.42|Approved|20|106
157|286|2022-10-23|Additional Programming|Additional Programming - Designer specification|Included materials|Enhanced system|11516.93|Approved|17|189
158|1027|2023-02-12|Material Substitution|Material Substitution - Designer specification|Basic system|Extended coverage|42926.64|Rejected|0|N/A
159|456|2023-07-19|Upgrade Components|Upgrade Components - Client request|Basic system|Upgraded materials|1829.04|Approved|3|58
160|565|2021-08-15|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Basic system|Upgraded materials|14564.1|Approved|18|57
161|895|2025-01-24|Upgrade Components|Upgrade Components - Client request|Included materials|Premium components|44524.92|Approved|12|21
162|920|2024-04-28|Add Equipment|Add Equipment - Unforeseen condition|Included materials|Extended coverage|38032.74|Approved|17|21
163|1139|2023-10-30|Add Equipment|Add Equipment - Unforeseen condition|Included materials|Premium components|34721.0|Approved|12|142
164|752|2022-06-17|Material Substitution|Material Substitution - Unforeseen condition|Included materials|Enhanced system|11343.93|Approved|10|131
165|940|2023-04-11|Add Zone Coverage|Add Zone Coverage - Technical requirement|Standard components|Extended coverage|41454.92|Pending|0|N/A
166|430|2025-03-15|Design Change|Design Change - Client request|Standard components|Extended coverage|8715.81|Approved|15|140
167|620|2024-01-22|Upgrade Components|Upgrade Components - Client request|Basic system|Upgraded materials|45199.88|Approved|19|58
168|966|2022-04-09|Additional Features|Additional Features - Unforeseen condition|Basic system|Enhanced system|38665.06|Approved|15|196
169|549|2025-02-02|Additional Features|Additional Features - Technical requirement|Standard components|Premium components|6710.18|Approved|11|9
170|1187|2023-07-12|Add Zone Coverage|Add Zone Coverage - Designer specification|Standard components|Enhanced system|47692.53|Approved|10|55
171|930|2021-07-09|Add Equipment|Add Equipment - Designer specification|Basic system|Upgraded materials|27633.51|Approved|11|55
172|526|2024-07-15|Additional Features|Additional Features - Technical requirement|Basic system|Premium components|40751.89|Approved|2|147
173|539|2023-07-10|Design Change|Design Change - Technical requirement|Basic system|Premium components|13276.25|Pending|0|N/A
174|381|2022-04-18|Upgrade Components|Upgrade Components - Client request|Basic system|Extended coverage|1035.43|Approved|8|131
175|253|2024-01-19|Additional Features|Additional Features - Unforeseen condition|Basic system|Upgraded materials|3268.61|Rejected|0|N/A
176|726|2021-10-08|Additional Features|Additional Features - Technical requirement|Basic system|Enhanced system|1055.68|Approved|9|61
177|992|2023-08-11|Additional Programming|Additional Programming - Designer specification|Standard components|Enhanced system|7690.4|Approved|12|21
178|192|2022-06-16|Additional Programming|Additional Programming - Designer specification|Basic system|Premium components|2813.21|Approved|15|147
179|662|2024-09-10|Additional Programming|Additional Programming - Client request|Standard components|Enhanced system|3999.97|Rejected|0|N/A
180|244|2025-01-13|Add Zone Coverage|Add Zone Coverage - Technical requirement|Standard components|Premium components|10714.64|Approved|7|147
181|1075|2022-12-28|Material Substitution|Material Substitution - Designer specification|Basic system|Extended coverage|11556.36|Approved|10|124
182|615|2024-02-24|Add Zone Coverage|Add Zone Coverage - Client request|Standard components|Upgraded materials|20946.98|Rejected|0|N/A
183|418|2024-03-28|Design Change|Design Change - Technical requirement|Basic system|Extended coverage|9605.49|Approved|2|133
184|989|2024-07-15|Material Substitution|Material Substitution - Client request|Basic system|Extended coverage|4869.38|Rejected|0|N/A
185|948|2024-01-27|Material Substitution|Material Substitution - Designer specification|Basic system|Enhanced system|15279.53|Approved|18|141
186|612|2024-09-13|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Included materials|Extended coverage|2778.63|Pending|0|N/A
187|1027|2023-01-21|Additional Features|Additional Features - Client request|Basic system|Upgraded materials|47569.41|Rejected|0|N/A
188|842|2021-12-11|Material Substitution|Material Substitution - Client request|Standard components|Extended coverage|7099.96|Pending|0|N/A
189|1051|2024-07-10|Additional Programming|Additional Programming - Unforeseen condition|Standard components|Upgraded materials|2028.15|Approved|11|109
190|1192|2024-04-27|Add Equipment|Add Equipment - Designer specification|Standard components|Extended coverage|6359.87|Approved|7|125
191|939|2025-01-21|Additional Programming|Additional Programming - Technical requirement|Limited zones|Upgraded materials|16745.95|Approved|8|21
192|1125|2022-05-09|Add Equipment|Add Equipment - Technical requirement|Basic system|Upgraded materials|21100.84|Approved|10|58
193|339|2024-02-25|Design Change|Design Change - Client request|Standard components|Enhanced system|1637.45|Approved|5|106
194|331|2024-08-26|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Basic system|Upgraded materials|29071.72|Rejected|0|N/A
195|565|2021-09-06|Design Change|Design Change - Technical requirement|Limited zones|Upgraded materials|6730.67|Approved|7|131
196|877|2024-03-20|Design Change|Design Change - Technical requirement|Basic system|Extended coverage|23647.84|Approved|15|125
197|1028|2021-08-15|Add Equipment|Add Equipment - Unforeseen condition|Standard components|Enhanced system|25807.52|Pending|0|N/A
198|390|2025-03-08|Additional Programming|Additional Programming - Technical requirement|Basic system|Extended coverage|4708.33|Approved|8|55
199|707|2025-03-19|Material Substitution|Material Substitution - Technical requirement|Standard components|Extended coverage|15898.65|Approved|4|109
200|330|2025-04-05|Additional Features|Additional Features - Designer specification|Limited zones|Extended coverage|13295.47|Approved|4|61
201|712|2024-05-12|Add Equipment|Add Equipment - Technical requirement|Included materials|Upgraded materials|5325.63|Approved|13|56
202|993|2021-12-10|Additional Features|Additional Features - Designer specification|Basic system|Upgraded materials|7135.93|Approved|5|142
203|681|2022-11-28|Material Substitution|Material Substitution - Client request|Limited zones|Extended coverage|24144.86|Pending|0|N/A
204|169|2023-11-24|Additional Features|Additional Features - Designer specification|Basic system|Upgraded materials|7706.51|Approved|20|141
205|715|2024-01-01|Add Equipment|Add Equipment - Unforeseen condition|Standard components|Upgraded materials|52620.18|Approved|18|54
206|1199|2021-05-13|Additional Features|Additional Features - Technical requirement|Included materials|Upgraded materials|5001.78|Approved|11|164
207|89|2023-01-19|Add Zone Coverage|Add Zone Coverage - Technical requirement|Basic system|Enhanced system|3750.28|Approved|19|9
208|593|2022-12-05|Additional Programming|Additional Programming - Client request|Basic system|Enhanced system|49902.05|Approved|1|169
209|556|2024-04-24|Design Change|Design Change - Designer specification|Included materials|Premium components|30506.58|Rejected|0|N/A
210|868|2024-09-09|Additional Programming|Additional Programming - Client request|Included materials|Upgraded materials|10334.73|Approved|16|57
211|250|2021-11-20|Additional Features|Additional Features - Technical requirement|Limited zones|Enhanced system|31439.4|Approved|4|131
212|1049|2024-06-05|Material Substitution|Material Substitution - Client request|Basic system|Upgraded materials|19177.5|Approved|13|169
213|613|2022-08-04|Add Equipment|Add Equipment - Unforeseen condition|Basic system|Upgraded materials|24552.03|Approved|7|140
214|183|2025-03-11|Material Substitution|Material Substitution - Technical requirement|Limited zones|Enhanced system|21401.82|Approved|14|164
215|66|2024-11-22|Design Change|Design Change - Client request|Standard components|Upgraded materials|7182.12|Rejected|0|N/A
216|1200|2022-02-24|Upgrade Components|Upgrade Components - Designer specification|Basic system|Upgraded materials|20260.05|Approved|20|56
217|838|2024-03-04|Add Equipment|Add Equipment - Technical requirement|Basic system|Premium components|5431.4|Approved|6|3
218|25|2023-08-12|Upgrade Components|Upgrade Components - Client request|Included materials|Enhanced system|1991.49|Approved|19|190
219|133|2024-09-29|Material Substitution|Material Substitution - Client request|Included materials|Enhanced system|3080.52|Approved|1|164
220|878|2023-04-29|Add Zone Coverage|Add Zone Coverage - Technical requirement|Included materials|Premium components|4204.9|Approved|17|69
221|211|2024-03-28|Additional Features|Additional Features - Unforeseen condition|Standard components|Enhanced system|9029.34|Approved|10|54
222|823|2025-01-26|Material Substitution|Material Substitution - Client request|Basic system|Extended coverage|37761.19|Approved|11|55
223|529|2023-02-22|Additional Features|Additional Features - Designer specification|Limited zones|Premium components|36613.51|Approved|19|142
224|1033|2023-08-05|Upgrade Components|Upgrade Components - Unforeseen condition|Basic system|Extended coverage|20260.32|Approved|6|57
225|14|2023-06-09|Add Equipment|Add Equipment - Unforeseen condition|Basic system|Enhanced system|11402.36|Pending|0|N/A
226|615|2024-05-04|Add Zone Coverage|Add Zone Coverage - Unforeseen condition|Limited zones|Upgraded materials|7115.62|Approved|9|3
227|1026|2023-05-14|Additional Programming|Additional Programming - Unforeseen condition|Limited zones|Upgraded materials|1049.01|Approved|15|164
228|438|2023-09-24|Upgrade Components|Upgrade Components - Unforeseen condition|Included materials|Premium components|42431.39|Approved|11|61
229|454|2025-02-19|Add Equipment|Add Equipment - Unforeseen condition|Limited zones|Upgraded materials|8822.95|Approved|1|9
230|101|2025-03-01|Add Equipment|Add Equipment - Unforeseen condition|Included materials|Enhanced system|20356.1|Approved|1|125
231|1041|2021-10-18|Design Change|Design Change - Designer specification|Included materials|Enhanced system|4032.28|Approved|3|57
232|119|2025-01-21|Additional Programming|Additional Programming - Unforeseen condition|Included materials|Upgraded materials|20127.53|Pending|0|N/A
233|779|2021-08-02|Additional Features|Additional Features - Client request|Included materials|Enhanced system|22291.68|Approved|2|116
234|998|2024-04-07|Design Change|Design Change - Technical requirement|Standard components|Enhanced system|32874.11|Approved|8|54
235|262|2021-04-01|Add Equipment|Add Equipment - Technical requirement|Standard components|Premium components|31925.59|Approved|7|189
236|643|2021-08-14|Material Substitution|Material Substitution - Technical requirement|Basic system|Premium components|25161.17|Approved|11|9
237|824|2023-11-19|Additional Features|Additional Features - Designer specification|Standard components|Enhanced system|12759.12|Approved|18|185
238|471|2024-07-22|Design Change|Design Change - Designer specification|Basic system|Upgraded materials|14111.22|Approved|2|106
239|262|2021-04-03|Additional Programming|Additional Programming - Technical requirement|Included materials|Enhanced system|4813.66|Approved|13|57
240|198|2022-07-05|Additional Programming|Additional Programming - Technical requirement|Limited zones|Upgraded materials|12914.04|Pending|0|N/A
241|820|2022-12-02|Additional Features|Additional Features - Designer specification|Basic system|Extended coverage|6973.78|Pending|0|N/A
242|175|2024-09-08|Add Equipment|Add Equipment - Technical requirement|Limited zones|Extended coverage|6994.72|Approved|18|140
