TrainingID|EmployeeID|Name|Type|Provider|StartDate|CompletionDate|HoursRequired|HoursCompleted|Status|Score|Passed|CertificationRenewed
44|179|New Technology Seminar|New Technology Seminar|Manufacturer|2022-10-31|2022-11-06|31|31|Completed|98|Yes|N/A
45|31|Troubleshooting Techniques|Troubleshooting Techniques|Consultant|2023-05-21|2023-06-12|35|35|Completed|96|Yes|N/A
46|146|New Technology Seminar|New Technology Seminar|Manufacturer|2021-05-13|2021-05-18|12|12|Completed|70|Yes|N/A
47|50|Troubleshooting Techniques|Troubleshooting Techniques|Consultant|2024-07-02|2024-07-09|20|20|Completed|89|Yes|N/A
48|8|Product Training - Somfy|Product Training|CEDIA|2020-07-14|2020-08-01|6|6|Completed|66|No|N/A
49|64|Crestron Certified Programmer Cert|Technical Certification|Internal|2023-10-16|2023-12-07|36|36|Completed|94|Yes|No
50|21|Project Management|Project Management|Manufacturer|2020-12-17|TBD|13|3|Did Not Complete|N/A|No|N/A
51|73|Advanced Installation|Advanced Installation|Online Platform|2025-01-27|2025-03-04|10|10|Completed|90|Yes|N/A
52|78|Programming Workshop|Programming Workshop|Internal|2020-09-28|2020-10-31|32|32|Completed|72|Yes|N/A
53|24|Safety Training|Safety Training|Online Platform|2022-01-05|2022-02-24|9|9|Completed|97|Yes|N/A
54|17|Safety Training|Safety Training|Industry Association|2024-09-30|2024-11-17|34|34|Completed|92|Yes|N/A
55|7|Programming Workshop - Savant|Programming Workshop|Manufacturer|2025-01-25|2025-03-05|20|20|Completed|73|Yes|N/A
56|104|Troubleshooting Techniques|Troubleshooting Techniques|CEDIA|2024-03-09|2024-05-04|13|13|Completed|95|Yes|N/A
57|77|Leadership Workshop - Meridian|Leadership Workshop|Consultant|2020-05-05|2020-05-19|36|36|Completed|78|Yes|N/A
58|120|Advanced Installation - Somfy|Advanced Installation|Internal|2020-07-09|TBD|25|18|In Progress|N/A|N/A|N/A
59|151|System Architecture|System Architecture|CEDIA|2021-05-25|2021-06-22|10|10|Completed|85|Yes|N/A
60|96|Troubleshooting Techniques - RTI|Troubleshooting Techniques|Online Platform|2023-04-17|2023-06-07|40|40|Completed|82|Yes|N/A
61|161|Troubleshooting Techniques - Lutron|Troubleshooting Techniques|Consultant|2021-08-29|2021-10-02|4|4|Completed|76|Yes|N/A
62|135|Programming Workshop|Programming Workshop|CEDIA|2022-06-14|2022-06-24|35|35|Completed|90|Yes|N/A
63|160|Programming Workshop - Screen Innovations|Programming Workshop|Industry Association|2020-02-01|2020-03-20|11|11|Completed|84|Yes|N/A
64|181|Product Training|Product Training|Online Platform|2020-02-13|2020-03-20|33|33|Completed|73|Yes|N/A
65|99|Troubleshooting Techniques - Marantz|Troubleshooting Techniques|Online Platform|2020-07-02|2020-08-05|33|33|Completed|N/A|N/A|N/A
66|57|Leadership Workshop - Axis|Leadership Workshop|Consultant|2021-11-27|TBD|34|15|In Progress|N/A|N/A|N/A
67|101|Safety Training|Safety Training|Online Platform|2021-04-27|2021-05-27|21|21|Completed|94|Yes|N/A
68|85|Troubleshooting Techniques - Kaleidescape|Troubleshooting Techniques|Industry Association|2020-09-02|2020-10-13|7|7|Completed|67|No|N/A
69|31|Safety Training|Safety Training|Manufacturer|2020-12-17|2021-01-12|26|26|Completed|65|No|N/A
70|118|Advanced Installation - Cisco Meraki|Advanced Installation|Internal|2023-02-11|2023-03-02|10|10|Completed|72|Yes|N/A
71|46|Product Training|Product Training|Internal|2021-12-31|2022-01-30|15|15|Completed|66|No|N/A
72|36|Troubleshooting Techniques|Troubleshooting Techniques|Internal|2020-11-30|TBD|7|2|In Progress|N/A|N/A|N/A
73|50|Programming Workshop|Programming Workshop|Online Platform|2021-01-25|TBD|9|2|In Progress|N/A|N/A|N/A
74|36|Advanced Installation - Ubiquiti|Advanced Installation|Industry Association|2022-06-04|2022-06-11|16|16|Completed|100|Yes|N/A
75|106|Leadership Workshop|Leadership Workshop|Manufacturer|2020-05-13|2020-07-04|25|25|Completed|N/A|N/A|N/A
76|156|Troubleshooting Techniques|Troubleshooting Techniques|Manufacturer|2021-02-26|TBD|5|1|In Progress|N/A|N/A|N/A
77|113|Safety Training|Safety Training|Industry Association|2022-07-06|2022-08-13|20|20|Completed|73|Yes|N/A
78|101|Troubleshooting Techniques - KEF|Troubleshooting Techniques|Internal|2024-03-09|2024-05-01|17|17|Completed|73|Yes|N/A
79|24|Product Training|Product Training|Industry Association|2024-05-08|2024-06-23|13|13|Completed|68|No|N/A
80|151|System Architecture|System Architecture|Manufacturer|2024-04-16|TBD|14|9|In Progress|N/A|N/A|N/A
81|59|Troubleshooting Techniques|Troubleshooting Techniques|CEDIA|2024-04-12|2024-04-16|22|22|Completed|88|Yes|N/A
82|46|Troubleshooting Techniques - Stewart Filmscreen|Troubleshooting Techniques|Online Platform|2022-02-28|2022-04-01|39|39|Completed|65|No|N/A
83|173|Advanced Installation - Lutron|Advanced Installation|Industry Association|2020-05-23|2020-07-08|13|13|Completed|N/A|N/A|N/A
84|56|Project Management|Project Management|Internal|2022-05-22|2022-07-06|5|5|Completed|98|Yes|N/A
85|67|Product Training - Screen Innovations|Product Training|Consultant|2021-05-25|2021-07-13|16|16|Completed|72|Yes|N/A
86|25|Product Training|Product Training|CEDIA|2023-10-25|2023-11-08|14|14|Completed|73|Yes|N/A
87|2|Savant Certified Programmer Cert|Technical Certification|Manufacturer|2020-07-08|2020-09-02|37|37|Completed|94|Yes|Yes
88|56|Sales Training|Sales Training|Internal|2020-02-21|2020-04-19|28|28|Completed|91|Yes|N/A
89|17|OSHA Safety Cert|Technical Certification|Industry Association|2023-01-13|TBD|77|34|In Progress|N/A|N/A|N/A
90|101|Product Training|Product Training|Online Platform|2022-12-06|2022-12-08|15|15|Completed|99|Yes|N/A
91|61|Client Communication|Client Communication|Online Platform|2020-09-19|2020-10-20|26|26|Completed|71|Yes|N/A
92|135|Product Training - Barco|Product Training|Online Platform|2024-04-23|2024-06-12|21|21|Completed|100|Yes|N/A
93|7|Troubleshooting Techniques - RTI|Troubleshooting Techniques|Industry Association|2022-05-07|2022-06-01|22|22|Completed|71|Yes|N/A
94|188|System Architecture|System Architecture|CEDIA|2020-06-02|2020-06-06|10|10|Completed|N/A|N/A|N/A
95|93|Advanced Installation|Advanced Installation|Manufacturer|2021-01-12|2021-03-02|40|40|Completed|81|Yes|N/A
96|14|Advanced Installation|Advanced Installation|Internal|2023-07-11|2023-07-18|5|5|Completed|75|Yes|N/A
97|25|Programming Workshop - Barco|Programming Workshop|Internal|2021-09-10|2021-10-17|13|13|Completed|94|Yes|N/A
98|46|Troubleshooting Techniques - Screen Innovations|Troubleshooting Techniques|Industry Association|2021-07-12|2021-07-29|8|8|Completed|N/A|N/A|N/A
99|173|Safety Training|Safety Training|Online Platform|2020-11-09|2020-11-26|26|26|Completed|97|Yes|N/A
100|126|AMX Certified Cert|Technical Certification|Industry Association|2024-02-11|2024-02-13|61|61|Completed|76|Yes|Yes
101|193|New Technology Seminar|New Technology Seminar|CEDIA|2022-08-07|TBD|40|19|Did Not Complete|N/A|No|N/A
102|41|Safety Training|Safety Training|Internal|2020-01-13|2020-02-07|4|4|Completed|82|Yes|N/A
103|51|Sales Training - Ruckus|Sales Training|Manufacturer|2025-03-07|2025-03-19|10|10|Completed|86|Yes|N/A
104|156|Product Training|Product Training|CEDIA|2024-08-06|2024-08-12|6|6|Completed|68|No|N/A
105|2|Lutron Certified Installer Cert|Technical Certification|CEDIA|2023-05-28|2023-07-06|60|60|Completed|98|Yes|Yes
106|88|Advanced Installation|Advanced Installation|Online Platform|2024-05-29|TBD|36|33|In Progress|N/A|N/A|N/A
107|118|Electrical Administrator Cert|Technical Certification|Industry Association|2023-11-23|TBD|33|11|Did Not Complete|N/A|No|N/A
108|43|Troubleshooting Techniques - Screen Innovations|Troubleshooting Techniques|Internal|2020-02-07|2020-03-09|12|12|Completed|69|No|N/A
109|44|Safety Training|Safety Training|Manufacturer|2025-03-12|2025-04-09|10|10|Completed|98|Yes|N/A
110|6|Troubleshooting Techniques|Troubleshooting Techniques|CEDIA|2023-02-15|2023-02-21|29|29|Completed|94|Yes|N/A
111|63|System Architecture|System Architecture|Internal|2024-07-29|2024-09-21|25|25|Completed|84|Yes|N/A
112|39|Safety Training - KEF|Safety Training|Manufacturer|2022-07-06|2022-07-15|25|25|Completed|65|No|N/A
113|169|Leadership Workshop|Leadership Workshop|CEDIA|2020-04-17|2020-05-25|33|33|Completed|74|Yes|N/A
114|197|Product Training|Product Training|Consultant|2023-12-07|2023-12-14|9|9|Completed|68|No|N/A
115|141|Client Communication|Client Communication|CEDIA|2023-03-24|2023-04-15|21|21|Completed|87|Yes|N/A
116|142|Client Communication|Client Communication|Consultant|2024-08-11|2024-09-19|15|15|Completed|N/A|N/A|N/A
117|135|Programming Workshop|Programming Workshop|Consultant|2021-09-22|TBD|28|20|In Progress|N/A|N/A|N/A
118|116|Client Communication|Client Communication|Online Platform|2024-08-20|TBD|32|22|In Progress|N/A|N/A|N/A
119|42|Advanced Installation|Advanced Installation|Online Platform|2024-09-26|2024-11-18|23|23|Completed|84|Yes|N/A
120|39|Troubleshooting Techniques - Savant|Troubleshooting Techniques|Internal|2023-08-19|2023-08-26|9|9|Completed|94|Yes|N/A
121|37|Advanced Installation|Advanced Installation|Consultant|2020-02-16|2020-02-17|39|39|Completed|77|Yes|N/A
122|3|Client Communication|Client Communication|Consultant|2024-03-24|2024-05-17|24|24|Completed|99|Yes|N/A
123|53|Safety Training|Safety Training|Industry Association|2021-03-07|2021-03-08|40|40|Completed|96|Yes|N/A
124|30|Advanced Installation|Advanced Installation|Manufacturer|2024-06-15|2024-07-31|25|25|Completed|84|Yes|N/A
125|140|Client Communication - Meridian|Client Communication|Internal|2023-08-02|2023-08-15|8|8|Completed|76|Yes|N/A
126|89|Elan Certified Cert|Technical Certification|Internal|2024-03-10|2024-04-16|60|60|Completed|88|Yes|Yes
127|1|Safety Training - Control4|Safety Training|CEDIA|2021-02-13|2021-04-01|26|26|Completed|80|Yes|N/A
128|47|Advanced Installation - Control4|Advanced Installation|Internal|2020-12-02|2021-01-12|34|34|Completed|95|Yes|N/A
129|165|Advanced Installation - Ubiquiti|Advanced Installation|CEDIA|2020-10-20|TBD|15|7|Did Not Complete|N/A|No|N/A
130|21|Leadership Workshop - Dynaudio|Leadership Workshop|Internal|2024-09-23|TBD|21|8|In Progress|N/A|N/A|N/A
131|109|Project Management|Project Management|Online Platform|2024-02-17|2024-02-21|36|36|Completed|72|Yes|N/A
132|168|Programming Workshop - Barco|Programming Workshop|CEDIA|2023-11-08|TBD|24|20|In Progress|N/A|N/A|N/A
133|95|Troubleshooting Techniques - Savant|Troubleshooting Techniques|Manufacturer|2020-10-16|2020-11-09|17|17|Completed|70|Yes|N/A
134|64|New Technology Seminar|New Technology Seminar|CEDIA|2023-03-04|TBD|7|1|In Progress|N/A|N/A|N/A
135|22|Safety Training - Ubiquiti|Safety Training|Internal|2023-01-21|2023-02-26|22|22|Completed|67|No|N/A
136|160|Product Training|Product Training|CEDIA|2021-01-24|2021-02-18|17|17|Completed|91|Yes|N/A
137|93|Advanced Installation|Advanced Installation|Consultant|2022-01-03|2022-02-13|10|10|Completed|81|Yes|N/A
138|72|Lutron Certified Installer Cert|Technical Certification|Internal|2021-10-05|TBD|39|7|In Progress|N/A|N/A|N/A
139|139|Manufacturer Update|Manufacturer Update|Manufacturer|2020-12-10|2021-01-12|34|34|Completed|96|Yes|N/A
140|135|Programming Workshop|Programming Workshop|Internal|2020-06-21|2020-07-19|32|32|Completed|82|Yes|N/A
141|46|Advanced Installation - Integra|Advanced Installation|Internal|2022-05-26|TBD|38|9|In Progress|N/A|N/A|N/A
142|51|Financial Acumen|Financial Acumen|Consultant|2020-10-12|2020-10-21|19|19|Completed|80|Yes|N/A
143|71|Vantage Lighting Certified Cert|Technical Certification|CEDIA|2023-06-29|2023-08-26|34|34|Completed|73|Yes|Yes
144|158|Design Software|Design Software|Manufacturer|2022-08-03|2022-09-21|34|34|Completed|95|Yes|N/A
145|166|Product Training|Product Training|CEDIA|2020-11-12|2020-11-28|13|13|Completed|75|Yes|N/A
146|10|Safety Training - KEF|Safety Training|Internal|2023-03-03|2023-04-25|9|9|Completed|83|Yes|N/A
147|88|Advanced Installation - Bowers & Wilkins|Advanced Installation|CEDIA|2024-01-27|2024-02-02|19|19|Completed|73|Yes|N/A
148|32|Product Training - Lutron|Product Training|Consultant|2025-02-03|2025-03-03|37|37|Completed|99|Yes|N/A
149|146|Manufacturer Update - Barco|Manufacturer Update|Online Platform|2022-06-27|2022-07-20|27|27|Completed|67|No|N/A
150|188|Biamp Certified Cert|Technical Certification|Manufacturer|2023-07-30|TBD|22|1|In Progress|N/A|N/A|N/A
151|84|Troubleshooting Techniques|Troubleshooting Techniques|Consultant|2021-04-02|2021-04-22|27|27|Completed|82|Yes|N/A
152|123|New Technology Seminar|New Technology Seminar|Internal|2021-04-15|2021-04-27|33|33|Completed|89|Yes|N/A
153|117|Safety Training|Safety Training|Consultant|2021-12-15|TBD|8|1|In Progress|N/A|N/A|N/A
154|117|Programming Workshop|Programming Workshop|Industry Association|2021-11-14|2021-12-08|10|10|Completed|89|Yes|N/A
155|183|Product Training|Product Training|CEDIA|2025-03-29|TBD|4|1|Did Not Complete|N/A|No|N/A
156|194|Advanced Installation - Stewart Filmscreen|Advanced Installation|Internal|2022-01-22|TBD|27|2|Did Not Complete|N/A|No|N/A
157|168|Safety Training - Axis|Safety Training|Manufacturer|2020-04-02|2020-05-27|18|18|Completed|79|Yes|N/A
158|72|Programming Workshop|Programming Workshop|Manufacturer|2021-09-01|2021-10-03|10|10|Completed|99|Yes|N/A
159|119|Safety Training - Martin Logan|Safety Training|Online Platform|2020-12-17|TBD|31|8|Did Not Complete|N/A|No|N/A
160|148|Product Training|Product Training|Consultant|2020-02-27|2020-03-04|6|6|Completed|99|Yes|N/A
161|192|Product Training - Dynaudio|Product Training|Internal|2021-02-02|2021-03-16|37|37|Completed|67|No|N/A
162|129|Client Communication - Josh.ai|Client Communication|Manufacturer|2023-07-30|2023-09-01|31|31|Completed|93|Yes|N/A
163|31|Troubleshooting Techniques - RTI|Troubleshooting Techniques|Consultant|2021-01-16|2021-01-31|12|12|Completed|71|Yes|N/A
164|52|Project Management|Project Management|Internal|2021-08-18|2021-09-14|16|16|Completed|87|Yes|N/A
165|194|Advanced Installation|Advanced Installation|Internal|2024-03-03|2024-04-06|33|33|Completed|N/A|N/A|N/A
166|82|Project Management - Josh.ai|Project Management|Consultant|2023-06-26|2023-08-24|22|22|Completed|88|Yes|N/A
167|58|Leadership Workshop|Leadership Workshop|Internal|2023-06-04|2023-07-12|24|24|Completed|88|Yes|N/A
168|128|KNX Certified Cert|Technical Certification|Online Platform|2024-03-06|2024-04-15|72|72|Completed|70|Yes|Yes
169|70|Advanced Installation - Crestron|Advanced Installation|Internal|2023-11-18|2024-01-12|17|17|Completed|65|No|N/A
170|67|Troubleshooting Techniques|Troubleshooting Techniques|Industry Association|2022-01-26|2022-02-23|12|12|Completed|89|Yes|N/A
171|18|Programming Workshop|Programming Workshop|CEDIA|2020-09-12|TBD|34|7|In Progress|N/A|N/A|N/A
172|191|Client Communication - Sonos|Client Communication|CEDIA|2020-01-06|2020-01-25|31|31|Completed|74|Yes|N/A
173|92|Advanced Installation|Advanced Installation|Manufacturer|2020-08-20|2020-09-23|39|39|Completed|65|No|N/A
174|17|Product Training|Product Training|Industry Association|2022-08-06|TBD|7|2|Did Not Complete|N/A|No|N/A
175|26|Troubleshooting Techniques|Troubleshooting Techniques|Industry Association|2020-10-10|2020-11-05|22|22|Completed|N/A|N/A|N/A
176|78|Troubleshooting Techniques|Troubleshooting Techniques|Manufacturer|2021-03-26|TBD|37|21|In Progress|N/A|N/A|N/A
177|178|Advanced Installation|Advanced Installation|Manufacturer|2024-11-18|2024-12-18|23|23|Completed|N/A|N/A|N/A
178|135|Product Training|Product Training|Online Platform|2021-02-05|2021-03-25|11|11|Completed|90|Yes|N/A
179|80|Product Training - RTI|Product Training|Internal|2024-02-09|2024-03-15|34|34|Completed|100|Yes|N/A
180|159|Safety Training|Safety Training|CEDIA|2025-02-05|2025-02-27|18|18|Completed|65|No|N/A
181|92|Advanced Installation - Elan|Advanced Installation|Consultant|2020-12-28|2021-02-02|17|17|Completed|90|Yes|N/A
182|154|Programming Workshop - Control4|Programming Workshop|Industry Association|2024-02-10|2024-03-10|27|27|Completed|65|No|N/A
183|75|Leadership Workshop - NAD|Leadership Workshop|Internal|2021-05-27|2021-07-08|10|10|Completed|71|Yes|N/A
184|191|Sales Training|Sales Training|Manufacturer|2020-08-31|2020-09-12|9|9|Completed|100|Yes|N/A
185|175|Advanced Installation|Advanced Installation|Online Platform|2023-08-30|2023-09-22|30|30|Completed|90|Yes|N/A
186|195|Sales Training|Sales Training|Manufacturer|2020-04-24|2020-05-13|34|34|Completed|91|Yes|N/A
187|164|Project Management - KEF|Project Management|Industry Association|2020-10-28|2020-12-18|36|36|Completed|83|Yes|N/A
188|86|Sales Training - Stewart Filmscreen|Sales Training|Industry Association|2024-01-16|2024-03-13|40|40|Completed|100|Yes|N/A
189|137|Safety Training|Safety Training|Online Platform|2023-03-20|2023-04-18|36|36|Completed|74|Yes|N/A
190|60|Product Training|Product Training|Consultant|2020-12-26|TBD|18|1|Did Not Complete|N/A|No|N/A
191|42|Product Training - Lutron|Product Training|Internal|2021-11-10|TBD|20|2|Did Not Complete|N/A|No|N/A
192|58|Financial Acumen|Financial Acumen|Online Platform|2021-12-28|2022-01-23|12|12|Completed|84|Yes|N/A
193|91|Advanced Installation|Advanced Installation|CEDIA|2024-05-06|2024-06-13|32|32|Completed|71|Yes|N/A
194|191|Financial Acumen - Linn|Financial Acumen|Industry Association|2021-05-03|2021-07-02|5|5|Completed|97|Yes|N/A
195|64|AMX Certified Cert|Technical Certification|Industry Association|2022-07-08|2022-08-16|56|56|Completed|97|Yes|Yes
196|80|Troubleshooting Techniques|Troubleshooting Techniques|Internal|2023-04-21|2023-06-14|28|28|Completed|90|Yes|N/A
197|189|Leadership Workshop - Triad|Leadership Workshop|CEDIA|2024-02-29|TBD|22|3|In Progress|N/A|N/A|N/A
198|57|Client Communication|Client Communication|CEDIA|2020-07-25|2020-08-03|28|28|Completed|68|No|N/A
199|25|Product Training|Product Training|Online Platform|2023-10-18|2023-12-01|18|18|Completed|98|Yes|N/A
200|69|Financial Acumen - Control4|Financial Acumen|Consultant|2020-11-13|TBD|17|15|In Progress|N/A|N/A|N/A
201|82|Project Management - Paradigm|Project Management|Consultant|2022-06-18|TBD|5|2|In Progress|N/A|N/A|N/A
202|74|Advanced Installation|Advanced Installation|Internal|2021-12-19|2022-01-11|35|35|Completed|74|Yes|N/A
203|106|Project Management|Project Management|CEDIA|2021-03-09|2021-03-23|19|19|Completed|93|Yes|N/A
204|87|Programming Workshop|Programming Workshop|Consultant|2021-04-13|2021-06-02|11|11|Completed|80|Yes|N/A
205|82|Financial Acumen|Financial Acumen|Consultant|2021-01-02|2021-01-21|10|10|Completed|87|Yes|N/A
206|74|Safety Training - Savant|Safety Training|CEDIA|2023-10-02|2023-10-30|15|15|Completed|79|Yes|N/A
207|38|Programming Workshop - Meridian|Programming Workshop|Industry Association|2024-09-23|2024-11-13|16|16|Completed|73|Yes|N/A
208|54|Financial Acumen|Financial Acumen|Manufacturer|2021-12-18|TBD|6|1|In Progress|N/A|N/A|N/A
209|34|Programming Workshop - Stewart Filmscreen|Programming Workshop|Consultant|2020-02-20|2020-03-10|22|22|Completed|90|Yes|N/A
210|170|Product Training|Product Training|Online Platform|2023-03-07|2023-04-23|25|25|Completed|71|Yes|N/A
211|8|Product Training|Product Training|Internal|2021-10-19|2021-10-27|31|31|Completed|84|Yes|N/A
212|40|Biamp Certified Cert|Technical Certification|CEDIA|2024-04-07|2024-04-08|61|61|Completed|83|Yes|Yes
213|163|Advanced Installation|Advanced Installation|CEDIA|2022-10-30|2022-11-20|23|23|Completed|65|No|N/A
214|55|Leadership Workshop|Leadership Workshop|Industry Association|2024-11-03|2024-12-23|31|31|Completed|N/A|N/A|N/A
215|189|Project Management - Elan|Project Management|Industry Association|2021-10-06|TBD|34|4|Did Not Complete|N/A|No|N/A
216|111|Advanced Installation - Crestron|Advanced Installation|CEDIA|2023-01-29|2023-03-22|4|4|Completed|N/A|N/A|N/A
217|182|Programming Workshop - Kaleidescape|Programming Workshop|Manufacturer|2020-05-23|TBD|31|20|In Progress|N/A|N/A|N/A
218|12|Design Software|Design Software|Industry Association|2023-06-27|2023-08-04|34|34|Completed|69|No|N/A
219|75|Client Communication|Client Communication|CEDIA|2020-05-04|2020-06-20|24|24|Completed|95|Yes|N/A
220|104|Product Training|Product Training|Industry Association|2020-03-11|2020-03-30|16|16|Completed|91|Yes|N/A
221|23|Safety Training - Cisco Meraki|Safety Training|Industry Association|2024-09-05|TBD|28|9|In Progress|N/A|N/A|N/A
222|41|Product Training - Meridian|Product Training|Consultant|2023-12-01|2023-12-31|13|13|Completed|83|Yes|N/A
223|154|Troubleshooting Techniques - Bowers & Wilkins|Troubleshooting Techniques|Consultant|2020-02-15|2020-03-24|5|5|Completed|86|Yes|N/A
224|174|Product Training|Product Training|Internal|2023-10-06|TBD|34|9|In Progress|N/A|N/A|N/A
225|151|Manufacturer Update|Manufacturer Update|Manufacturer|2021-01-29|2021-03-03|12|12|Completed|93|Yes|N/A
226|48|Troubleshooting Techniques - Sonos|Troubleshooting Techniques|Internal|2023-12-25|2024-02-21|29|29|Completed|73|Yes|N/A
227|166|Safety Training - Integra|Safety Training|Manufacturer|2022-12-25|2023-01-22|35|35|Completed|100|Yes|N/A
228|164|Sales Training - Bowers & Wilkins|Sales Training|Manufacturer|2024-07-06|2024-08-29|5|5|Completed|87|Yes|N/A
229|198|Design Software|Design Software|Internal|2025-02-15|2025-02-28|11|11|Completed|87|Yes|N/A
230|47|Product Training|Product Training|CEDIA|2022-07-09|2022-07-25|40|40|Completed|73|Yes|N/A
231|1|Troubleshooting Techniques - Anthem|Troubleshooting Techniques|CEDIA|2024-11-16|2025-01-14|17|17|Completed|97|Yes|N/A
232|191|Project Management|Project Management|Internal|2020-11-04|2020-12-17|18|18|Completed|N/A|N/A|N/A
233|151|Control4 Gold Certified Cert|Technical Certification|Online Platform|2020-12-12|2021-01-23|60|60|Completed|79|Yes|Yes
234|54|Financial Acumen|Financial Acumen|Manufacturer|2023-09-03|2023-10-22|25|25|Completed|100|Yes|N/A
235|131|Project Management - RTI|Project Management|CEDIA|2024-02-07|2024-02-28|31|31|Completed|90|Yes|N/A
