EntryID|EmployeeID|Date|ServiceCallID|ProjectID|Category|RegularHours|OvertimeHours|TotalHours|Notes
79|85|2024-07-20|None|391|Programming|6.7|0|6.7|Encountered unexpected issues
80|173|2024-03-26|None|501|Documentation|1.1|0|1.1|Coordination meeting
81|148|2024-08-09|None|258|Client Training|3.4|0|3.4|
82|41|2024-10-23|None|687|Installation|7.4|0|7.4|
83|160|2024-04-16|None|163|Documentation|1.9|0|1.9|
84|1|2024-10-11|None|983|Programming|6.3|0|6.3|
85|181|2023-03-12|None|514|Installation|6.9|0|6.9|
86|78|2022-03-24|None|632|Installation|5.0|0|5.0|
87|187|2023-05-27|None|421|Installation|5.6|0|5.6|
88|122|2021-04-10|None|251|Installation|5.1|0|5.1|
89|135|2021-04-09|None|618|Documentation|0.6|0|0.6|
90|137|2023-06-02|None|166|Client Training|2.7|0|2.7|
91|26|2021-09-17|None|633|Installation|4.9|0|4.9|
92|17|2023-06-21|None|1182|Installation|6.7|0|6.7|
93|80|2023-04-26|None|33|Programming|3.7|0|3.7|
94|171|2023-06-26|None|199|Installation|6.8|0|6.8|
95|120|2023-01-31|None|853|Documentation|0.6|0|0.6|
96|187|2022-11-26|None|218|Testing|7.1|0|7.1|
97|45|2021-12-30|None|1163|Programming|7.1|0|7.1|
98|74|2024-04-09|None|561|Client Training|2.3|0|2.3|
99|153|2023-08-25|None|None|Shop Work|1.9|0|1.9|
100|92|2022-06-14|None|None|Travel|0.9|0|0.9|
101|46|2023-10-14|None|129|Wiring|5.7|0|5.7|
102|8|2022-03-01|None|5|Installation|3.0|0|3.0|
103|2|2023-10-27|None|196|Documentation|1.7|0|1.7|Coordination meeting
104|8|2024-03-27|None|1041|Client Training|3.4|0|3.4|
105|154|2023-03-28|None|1112|Wiring|4.3|0|4.3|
106|19|2022-07-29|None|1174|Project Management Task|3.1|0|3.1|
107|29|2023-06-09|None|389|Wiring|6.4|0|6.4|
108|45|2023-06-03|None|97|Programming|6.6|0|6.6|Parts pickup
109|70|2023-12-08|None|None|Travel|1.0|0|1.0|
110|48|2021-07-06|None|643|Client Training|2.5|0|2.5|
111|93|2024-07-03|None|356|Project Management Task|2.8|0|2.8|
112|132|2022-01-25|None|None|Internal Meeting|0.6|0|0.6|
113|104|2024-02-14|None|604|Testing|4.3|0|4.3|
114|85|2024-10-03|None|397|Wiring|6.9|0|6.9|
115|24|2023-11-15|None|983|Client Training|1.9|0|1.9|
116|83|2021-08-03|None|373|Programming|6.6|0|6.6|Client requested additional work
117|102|2024-04-30|None|635|Programming|7.2|0|7.2|
118|30|2022-10-12|None|None|Admin|0.7|0|0.7|
119|186|2023-04-06|None|1149|Client Training|2.2|0|2.2|Completed phase ahead of schedule
120|163|2022-10-12|None|786|Project Management Task|1.5|0|1.5|
121|137|2023-05-14|None|666|Programming|5.8|0|5.8|
122|17|2024-07-10|None|1170|Testing|3.1|0|3.1|
123|154|2022-02-01|None|None|Sales Support|0.9|0|0.9|
124|148|2024-05-19|None|497|Testing|6.0|0|6.0|
125|18|2021-10-09|None|497|Programming|3.9|0|3.9|
126|85|2021-06-07|None|None|Training|1.2|0|1.2|
127|38|2024-06-19|None|994|Project Management Task|2.5|0|2.5|
128|7|2021-06-05|None|345|Programming|7.6|0|7.6|
129|115|2021-05-25|None|389|Testing|4.4|0|4.4|Client requested additional work
130|76|2023-10-14|None|1074|Documentation|1.9|0|1.9|
131|128|2021-02-18|None|None|Admin|1.3|0|1.3|
132|76|2024-05-03|None|107|Wiring|5.5|0|5.5|
133|120|2022-11-16|None|318|Project Management Task|2.0|0|2.0|
134|145|2024-12-31|None|783|Programming|4.1|0|4.1|
135|97|2022-01-06|None|216|Testing|6.8|0|6.8|Completed phase ahead of schedule
136|85|2021-11-03|None|947|Installation|6.2|0|6.2|
137|59|2024-12-03|None|548|Client Training|2.0|0|2.0|
138|60|2024-11-25|None|853|Wiring|4.0|0|4.0|
139|26|2022-06-18|None|129|Wiring|6.3|0|6.3|
140|143|2022-09-20|None|111|Documentation|1.6|0|1.6|
141|157|2024-10-17|None|1169|Testing|7.6|0|7.6|
142|163|2021-09-16|None|891|Wiring|5.4|0|5.4|
143|95|2021-01-01|None|None|Shop Work|1.9|0|1.9|
144|43|2022-08-03|None|None|Travel|0.9|0|0.9|
145|44|2023-12-25|None|724|Documentation|1.7|0|1.7|
146|126|2022-01-06|None|None|Travel|1.2|0|1.2|
147|173|2023-01-28|None|1048|Testing|3.1|0|3.1|
148|199|2025-03-29|None|972|Wiring|4.8|0|4.8|
149|89|2023-03-29|None|199|Programming|6.4|0|6.4|
150|96|2023-06-17|None|588|Wiring|7.3|0|7.3|
151|76|2024-06-03|None|14|Installation|7.7|0|7.7|
152|176|2023-02-28|None|None|Admin|1.8|0|1.8|Parts pickup
153|90|2023-11-14|None|None|Admin|1.8|0|1.8|
154|25|2022-12-25|None|377|Project Management Task|3.9|0|3.9|
155|85|2021-02-20|None|599|Project Management Task|2.4|0|2.4|
156|115|2022-09-29|None|467|Installation|3.8|0|3.8|
157|95|2024-01-02|None|887|Client Training|2.6|0|2.6|
158|18|2024-01-10|None|523|Project Management Task|1.5|0|1.5|
159|167|2023-08-12|None|1048|Programming|5.4|0|5.4|
160|31|2022-12-01|None|593|Programming|3.3|0|3.3|
161|143|2023-08-29|None|1152|Programming|3.3|0|3.3|Coordination meeting
162|83|2021-06-04|None|744|Wiring|5.1|0|5.1|
163|42|2023-05-19|None|786|Wiring|6.1|0|6.1|
164|165|2023-09-10|None|171|Client Training|1.4|0|1.4|
165|70|2021-09-15|None|835|Wiring|5.2|0|5.2|
166|173|2021-07-29|None|1082|Testing|5.6|0|5.6|
167|174|2024-06-02|None|676|Project Management Task|1.5|0|1.5|
168|50|2024-05-08|None|None|Training|1.7|0|1.7|
169|26|2022-04-02|None|640|Testing|3.6|0|3.6|
170|36|2021-05-15|None|293|Documentation|0.8|0|0.8|
171|120|2021-06-22|None|5|Wiring|7.1|0|7.1|
172|178|2024-08-30|None|344|Documentation|1.8|0|1.8|
173|152|2022-09-02|None|327|Wiring|7.4|0|7.4|
174|117|2021-01-17|None|None|Admin|0.9|0|0.9|
175|66|2025-02-09|None|563|Testing|6.5|0|6.5|
176|26|2022-08-22|None|609|Documentation|1.4|0|1.4|
177|170|2023-08-24|None|1120|Installation|4.8|0|4.8|
178|44|2023-01-28|None|107|Testing|7.0|0|7.0|
179|111|2023-01-30|None|None|Admin|1.7|0|1.7|
180|199|2023-11-22|None|None|Admin|1.2|0|1.2|
181|160|2024-07-19|None|556|Project Management Task|1.9|0|1.9|
182|41|2021-03-04|None|None|Admin|1.6|0|1.6|
183|170|2025-04-09|None|39|Wiring|7.1|0|7.1|
184|99|2021-10-15|None|233|Client Training|2.8|0|2.8|
185|29|2021-07-03|None|786|Testing|7.8|0|7.8|
186|126|2021-04-13|None|654|Programming|3.3|0|3.3|
187|80|2023-10-27|None|None|Training|0.7|0|0.7|System testing OK
188|50|2025-01-21|None|983|Documentation|1.7|0|1.7|
189|17|2021-08-03|None|1108|Documentation|1.5|0|1.5|
190|128|2022-09-03|None|690|Client Training|4.0|0|4.0|Coordination meeting
191|148|2023-11-14|802|597|Troubleshooting|4.6|0|4.6|
192|10|2021-01-13|None|574|Testing|7.4|0|7.4|
193|30|2024-12-06|None|504|Programming|7.6|0|7.6|
194|134|2023-10-08|None|227|Installation|7.6|0|7.6|
195|120|2024-06-22|None|228|Client Training|1.2|0|1.2|
196|39|2024-05-06|None|None|Internal Meeting|1.7|0|1.7|Parts pickup
197|26|2022-04-27|None|1197|Wiring|4.6|0|4.6|
198|44|2021-02-07|None|661|Testing|5.7|0|5.7|
199|153|2021-02-21|None|None|Training|1.1|0|1.1|
200|39|2025-03-29|None|None|Sales Support|0.8|0|0.8|
201|6|2024-07-02|None|551|Testing|6.2|0|6.2|
202|97|2024-05-29|None|3|Documentation|1.4|0|1.4|
203|138|2022-02-07|None|68|Testing|4.1|0|4.1|
204|127|2023-06-04|None|None|Sales Support|2.0|0|2.0|
205|6|2022-09-08|None|452|Wiring|4.4|0|4.4|
206|119|2022-10-23|None|None|Sales Support|1.1|0|1.1|
207|60|2025-01-12|50|536|Remote Support|1.6|0|1.6|
208|103|2021-07-24|861|None|System Check|0.8|0|0.8|
209|89|2023-11-17|None|834|Documentation|1.7|0|1.7|
210|8|2024-07-02|None|None|Admin|0.6|0|0.6|
211|120|2024-10-17|None|None|Internal Meeting|1.8|0|1.8|Coordination meeting
212|72|2024-05-26|None|49|Documentation|1.3|0|1.3|
213|48|2022-10-31|None|994|Testing|5.4|0|5.4|
214|18|2022-01-28|None|951|Programming|6.8|0|6.8|
215|137|2024-02-05|None|614|Client Training|2.1|0|2.1|
216|173|2022-06-01|None|None|Training|1.7|0|1.7|
217|7|2025-01-20|None|218|Testing|3.1|0|3.1|
218|37|2022-05-13|None|135|Wiring|7.4|0|7.4|Encountered unexpected issues
219|200|2023-01-03|None|961|Documentation|1.7|0|1.7|
220|73|2024-09-24|None|None|Training|1.8|0|1.8|
221|118|2021-12-05|None|None|Sales Support|1.4|0|1.4|
222|135|2023-06-05|1705|None|Troubleshooting|7.7|0|7.7|
223|170|2021-05-06|None|327|Project Management Task|1.4|0|1.4|
224|94|2021-08-09|None|147|Installation|7.4|0|7.4|
225|88|2021-11-19|None|737|Wiring|6.7|0|6.7|
226|46|2024-10-18|None|212|Wiring|7.1|0|7.1|
227|105|2023-11-24|None|129|Installation|3.4|0|3.4|
228|80|2022-03-26|None|786|Wiring|5.9|0|5.9|
229|137|2024-07-05|None|464|Programming|4.1|0|4.1|
230|73|2023-03-07|None|306|Testing|4.4|0|4.4|
231|66|2023-11-01|None|128|Testing|7.9|0|7.9|
232|5|2022-12-03|None|894|Documentation|1.9|0|1.9|
233|98|2021-11-28|None|566|Wiring|3.8|0|3.8|
234|186|2022-01-02|None|1034|Programming|5.3|0|5.3|
235|43|2021-04-14|None|95|Testing|6.7|0|6.7|
236|199|2025-03-12|None|None|Shop Work|1.0|0|1.0|Encountered unexpected issues
237|134|2025-01-10|None|1049|Wiring|4.3|0|4.3|
238|47|2021-10-10|None|779|Testing|3.7|0|3.7|
239|181|2024-08-10|None|107|Project Management Task|1.5|0|1.5|
240|29|2024-08-10|None|None|Travel|1.0|0|1.0|
241|91|2025-01-12|None|1049|Testing|7.2|0|7.2|
242|40|2022-05-16|None|636|Programming|6.6|0|6.6|
243|83|2021-05-04|None|107|Programming|3.1|0|3.1|
244|80|2021-05-15|None|577|Programming|3.4|0|3.4|
245|181|2023-10-26|None|808|Testing|6.3|0|6.3|
246|46|2023-09-07|None|277|Wiring|3.3|0|3.3|
247|176|2023-03-30|None|728|Client Training|3.2|0|3.2|
248|171|2024-11-26|None|1008|Wiring|6.2|0|6.2|
249|25|2022-03-10|None|None|Sales Support|1.2|0|1.2|
250|144|2023-07-15|None|913|Programming|4.1|0|4.1|
251|8|2021-03-24|None|None|Internal Meeting|1.8|0|1.8|
252|19|2024-09-09|None|327|Programming|3.2|0|3.2|Parts pickup
253|182|2021-01-17|None|495|Client Training|3.2|0|3.2|
254|47|2022-03-07|None|583|Programming|4.1|0|4.1|
255|29|2023-06-03|None|1146|Testing|6.4|0|6.4|
256|157|2024-04-07|None|199|Client Training|4.0|0|4.0|
257|119|2021-05-20|None|994|Client Training|3.7|0|3.7|
258|24|2022-02-08|None|730|Client Training|2.2|0|2.2|
259|107|2021-09-24|None|None|Sales Support|1.8|0|1.8|
260|199|2024-01-07|None|765|Project Management Task|2.7|0|2.7|
261|26|2022-07-30|None|570|Documentation|0.5|0|0.5|
262|134|2024-08-16|None|119|Documentation|1.8|0|1.8|
263|111|2022-07-26|None|768|Documentation|0.9|0|0.9|
264|94|2021-12-15|None|None|Travel|1.4|0|1.4|
265|148|2023-05-27|None|621|Documentation|1.1|0|1.1|
266|174|2021-08-30|639|None|Remote Support|0.6|0|0.6|
267|186|2025-01-08|None|772|Wiring|4.4|0|4.4|
268|103|2023-02-07|None|312|Project Management Task|4.0|0|4.0|
269|38|2024-08-04|None|928|Installation|4.6|0|4.6|
270|101|2021-09-05|None|483|Project Management Task|3.3|0|3.3|
271|126|2024-09-17|None|52|Project Management Task|2.4|0|2.4|
272|24|2023-09-03|None|715|Project Management Task|2.9|0|2.9|
273|80|2021-02-24|None|172|Installation|6.9|0|6.9|
274|50|2023-08-26|411|None|Maintenance|1.3|0|1.3|
275|134|2023-02-22|None|88|Testing|4.8|0|4.8|
276|60|2022-10-31|None|722|Testing|6.2|0|6.2|
277|117|2021-11-16|None|1071|Programming|6.8|0|6.8|
278|83|2023-06-16|None|306|Documentation|0.7|0|0.7|
279|22|2022-07-18|None|887|Wiring|3.2|0|3.2|
280|126|2021-11-17|None|None|Sales Support|0.7|0|0.7|
281|175|2023-05-09|None|1160|Programming|5.2|0|5.2|
282|23|2024-03-20|None|228|Project Management Task|2.7|0|2.7|
283|73|2022-01-03|None|954|Project Management Task|2.0|0|2.0|
284|148|2024-07-10|None|593|Client Training|2.6|0|2.6|
285|128|2021-09-17|None|432|Installation|3.5|0|3.5|
286|11|2024-10-19|None|632|Wiring|5.0|0|5.0|
287|157|2021-10-22|None|1149|Testing|3.6|0|3.6|
288|176|2022-10-08|None|955|Documentation|0.8|0|0.8|
289|10|2022-11-22|None|166|Testing|6.4|0|6.4|
290|67|2022-01-03|None|661|Programming|3.4|0|3.4|
291|173|2023-07-23|213|None|Remote Support|0.9|0|0.9|
292|120|2023-11-04|None|1031|Testing|3.8|0|3.8|
293|11|2021-06-18|None|1196|Wiring|6.3|0|6.3|
294|81|2023-10-27|None|232|Installation|3.3|0|3.3|
295|128|2021-12-19|None|501|Client Training|1.7|0|1.7|
296|62|2021-10-30|None|68|Testing|4.4|0|4.4|
297|10|2023-03-26|None|327|Testing|5.8|0|5.8|
298|93|2023-04-20|None|1152|Project Management Task|1.5|0|1.5|
299|136|2022-10-28|None|907|Programming|4.0|0|4.0|
300|178|2021-04-25|None|None|Shop Work|1.5|0|1.5|Completed phase ahead of schedule
301|11|2022-10-01|None|93|Programming|7.8|0|7.8|
302|136|2022-06-24|None|73|Documentation|1.7|0|1.7|
303|176|2021-03-09|None|701|Installation|4.7|0|4.7|
304|157|2021-12-11|None|455|Documentation|0.9|0|0.9|
305|118|2023-03-25|None|1149|Testing|7.4|0|7.4|System testing OK
306|11|2023-04-09|None|280|Programming|7.3|0|7.3|
307|183|2024-05-24|None|929|Client Training|2.0|0|2.0|
308|65|2024-10-27|None|1009|Installation|5.0|0|5.0|
309|47|2021-10-26|None|228|Testing|4.2|0|4.2|
310|168|2022-11-08|None|618|Installation|5.4|0|5.4|
311|183|2021-11-28|None|909|Documentation|1.3|0|1.3|
312|89|2023-06-12|None|497|Programming|8|0|8.0|
313|200|2022-02-16|None|946|Client Training|1.7|0|1.7|
314|40|2022-12-22|None|1164|Wiring|5.1|0|5.1|
315|8|2024-01-16|None|750|Wiring|4.7|0|4.7|
316|71|2021-10-21|None|908|Programming|6.5|0|6.5|
317|6|2022-07-30|None|264|Client Training|1.1|0|1.1|
318|171|2021-06-28|None|352|Documentation|1.2|0|1.2|
319|67|2023-10-19|None|367|Project Management Task|1.4|0|1.4|
320|194|2024-06-28|None|497|Programming|5.5|0|5.5|
321|44|2024-06-04|None|476|Wiring|6.7|0|6.7|
322|199|2022-03-15|None|922|Programming|7.0|0|7.0|
323|127|2024-06-06|None|787|Installation|6.3|0|6.3|Parts pickup
324|197|2025-03-19|None|1154|Installation|4.3|0|4.3|
325|88|2023-03-18|None|323|Documentation|1.0|0|1.0|
326|71|2023-09-19|None|877|Wiring|4.2|0|4.2|
327|182|2022-01-03|None|698|Testing|4.2|0|4.2|
328|36|2023-03-15|None|980|Documentation|0.8|0|0.8|
329|168|2022-06-04|None|1048|Wiring|4.7|0|4.7|
330|26|2023-05-15|None|925|Testing|7.2|0|7.2|
331|39|2022-04-06|None|6|Project Management Task|3.9|0|3.9|
332|117|2021-11-02|None|988|Testing|7.5|0|7.5|
333|34|2023-11-15|None|None|Admin|1.5|0|1.5|
334|73|2025-02-18|None|158|Client Training|1.8|0|1.8|
335|136|2021-04-22|None|None|Travel|1.4|0|1.4|
336|199|2022-11-28|None|548|Wiring|7.4|0|7.4|
337|135|2022-12-29|None|None|Internal Meeting|0.6|0|0.6|
338|144|2023-04-25|None|907|Programming|3.7|0|3.7|
339|111|2024-03-17|None|666|Project Management Task|1.3|0|1.3|
340|171|2024-09-27|None|1192|Testing|7.9|0|7.9|
341|38|2023-05-07|None|593|Wiring|5.3|0|5.3|
342|98|2021-10-30|None|270|Project Management Task|1.9|0|1.9|
343|39|2025-01-07|None|358|Client Training|1.3|0|1.3|
344|10|2022-04-22|None|808|Testing|3.5|0|3.5|
345|136|2024-01-12|None|37|Client Training|3.2|0|3.2|
346|180|2021-07-27|None|548|Installation|7.8|0|7.8|
347|163|2025-02-07|None|506|Programming|3.3|0|3.3|
348|29|2024-05-24|None|128|Wiring|4.2|0|4.2|
349|128|2022-06-19|None|548|Documentation|0.9|0|0.9|
350|91|2024-08-01|None|None|Admin|1.0|0|1.0|
351|157|2024-01-21|None|280|Installation|5.0|0|5.0|
352|94|2022-11-30|None|293|Client Training|3.8|0|3.8|
353|42|2024-10-12|None|1190|Installation|6.8|0|6.8|
354|200|2021-06-24|None|509|Client Training|2.8|0|2.8|
355|107|2022-10-22|None|218|Programming|4.1|0|4.1|
356|166|2021-08-16|None|1105|Testing|7.2|0|7.2|
357|163|2021-01-23|None|299|Project Management Task|1.1|0|1.1|
358|89|2023-02-23|None|902|Testing|5.4|0|5.4|
359|138|2022-05-06|None|766|Documentation|1.3|0|1.3|
360|107|2021-01-01|None|None|Travel|1.4|0|1.4|
361|163|2023-07-04|None|None|Shop Work|0.6|0|0.6|
362|74|2021-05-14|None|None|Sales Support|1.1|0|1.1|
363|171|2022-10-05|None|None|Travel|1.5|0|1.5|
364|95|2021-01-30|None|None|Internal Meeting|1.7|0|1.7|
365|127|2022-05-21|None|541|Testing|7.0|0|7.0|
366|38|2023-06-09|None|619|Installation|4.1|0|4.1|
367|44|2023-02-15|None|536|Wiring|7.1|0|7.1|
368|104|2021-07-02|None|82|Client Training|2.1|0|2.1|
369|23|2022-03-23|None|332|Client Training|3.3|0|3.3|
370|41|2022-03-07|None|769|Wiring|5.6|0|5.6|
371|113|2022-02-20|None|698|Client Training|2.7|0|2.7|
372|175|2023-08-13|None|1189|Wiring|6.5|0|6.5|
373|49|2021-10-18|None|373|Programming|5.4|0|5.4|
374|160|2023-04-10|None|99|Wiring|7.1|0|7.1|
375|166|2023-01-30|None|None|Shop Work|1.4|0|1.4|
376|73|2024-05-25|None|83|Wiring|6.3|0|6.3|
377|122|2023-10-27|None|557|Client Training|2.2|0|2.2|
378|24|2024-05-27|None|280|Client Training|2.0|0|2.0|
379|99|2021-09-06|None|993|Testing|7.6|0|7.6|System testing OK
380|42|2022-06-24|None|389|Testing|6.6|0|6.6|
381|11|2024-04-02|None|289|Testing|7.5|0|7.5|
382|135|2023-10-10|None|815|Programming|6.7|0|6.7|
383|176|2021-02-10|None|442|Wiring|4.9|0|4.9|
384|88|2021-04-13|None|848|Wiring|5.9|0|5.9|
385|117|2021-06-07|None|37|Wiring|6.5|0|6.5|
386|37|2024-06-26|None|314|Documentation|1.7|0|1.7|
387|156|2021-07-30|None|135|Project Management Task|3.2|0|3.2|
388|200|2021-11-10|None|763|Programming|7.1|0|7.1|Coordination meeting
389|80|2024-06-20|None|635|Installation|3.3|0|3.3|
390|107|2023-06-23|None|1012|Programming|6.1|0|6.1|Encountered unexpected issues
391|137|2022-10-22|None|323|Project Management Task|2.9|0|2.9|
392|187|2022-12-08|None|445|Wiring|7.6|0|7.6|
393|46|2023-02-22|None|313|Documentation|1.8|0|1.8|
394|111|2025-02-04|None|946|Installation|4.0|0|4.0|
395|76|2021-04-19|None|238|Installation|3.6|0|3.6|
396|155|2024-09-17|None|471|Documentation|1.4|0|1.4|
397|91|2022-08-19|None|783|Project Management Task|2.5|0|2.5|
398|73|2022-02-22|None|457|Documentation|1.6|0|1.6|Parts pickup
399|173|2021-08-16|None|134|Project Management Task|3.6|0|3.6|
400|145|2024-10-05|None|327|Client Training|1.5|0|1.5|
401|143|2023-08-03|None|234|Project Management Task|1.3|0|1.3|
402|8|2024-01-20|None|None|Admin|1.9|0|1.9|
403|90|2023-03-29|None|1154|Installation|6.9|0|6.9|
404|134|2023-07-11|None|808|Wiring|4.5|0|4.5|
405|26|2024-05-25|None|552|Documentation|1.2|0|1.2|
406|152|2022-05-25|None|626|Programming|4.5|0|4.5|Client requested additional work
407|88|2023-10-26|None|None|Admin|0.6|0|0.6|Coordination meeting
408|127|2024-06-29|None|1154|Installation|6.0|0|6.0|Client requested additional work
409|136|2023-09-09|None|None|Internal Meeting|0.9|0|0.9|
410|32|2021-02-20|None|185|Programming|4.1|0|4.1|
411|168|2023-02-26|None|293|Documentation|0.9|0|0.9|
412|67|2024-11-18|None|902|Client Training|2.7|0|2.7|
413|135|2024-01-27|None|356|Installation|3.4|0|3.4|
414|40|2024-07-23|None|None|Sales Support|1.0|0|1.0|
415|111|2024-02-02|None|289|Installation|5.2|0|5.2|
416|176|2021-01-29|None|238|Installation|6.6|0|6.6|
417|119|2024-06-14|None|490|Project Management Task|3.7|0|3.7|
418|90|2024-03-21|None|None|Admin|0.8|0|0.8|
419|39|2025-01-20|None|232|Client Training|3.3|0|3.3|Client requested additional work
420|173|2021-12-19|None|999|Testing|8|0|8.0|
421|41|2021-11-15|None|834|Installation|5.5|0|5.5|
422|81|2022-03-02|None|322|Testing|3.5|0|3.5|
423|166|2023-12-27|None|336|Wiring|4.4|0|4.4|
424|80|2022-03-15|None|640|Client Training|1.5|0|1.5|
425|137|2023-03-26|None|95|Client Training|3.9|0|3.9|
426|118|2024-05-10|None|None|Internal Meeting|1.0|0|1.0|
427|105|2023-10-18|None|954|Wiring|7.2|0|7.2|
428|66|2022-12-16|None|None|Internal Meeting|1.0|0|1.0|
429|113|2023-10-17|None|690|Project Management Task|2.5|0|2.5|
430|117|2021-08-29|None|None|Training|1.1|0|1.1|
431|157|2022-07-28|None|613|Client Training|2.9|0|2.9|
432|47|2022-11-10|None|501|Documentation|0.7|0|0.7|
433|192|2024-06-18|None|1043|Installation|6.9|0|6.9|
434|153|2023-04-15|None|753|Wiring|4.1|0|4.1|
435|70|2023-10-31|None|209|Wiring|3.7|0|3.7|
436|1|2024-07-13|None|1138|Programming|3.9|0|3.9|
437|71|2022-04-05|None|544|Testing|6.5|0|6.5|
438|46|2023-10-06|None|210|Documentation|0.9|0|0.9|
