ServiceID|CustomerID|ServiceType|RelatedProjectID|TechnicianID|DateStr|StartTime|EndTime|MaterialsCost|LaborHours|LaborCost|TotalCost|BilledAmount|SatisfactionScore|Priority|Resolution|ScheduledDate|ScheduledTime|ActualArrivalTime|ResponseTime|IssueCategory|FirstTimeFixStatus
844|162|Design Consultation|None|49|2024-06-18|09:15|09:54|0.0|0.9|71.93|71.93|128.38|3|Standard|Complete|2024-06-16|15:00|16:00 (Late)|N/A|Network|Yes
225|134|System Upgrade|None|50|2021-04-22|10:00|13:36|991.88|3.6|465.44|1457.32|2052.63|5|Standard|Complete|2021-04-22|08:00|08:45 (Late)|N/A|Network|Yes
867|489|System Integration|457|175|2022-06-17|09:30|14:05|0.0|5.1|416.57|416.57|706.35|4|Standard|Complete|2022-06-15|16:00|17:45 (Late)|N/A|Network|Yes
735|397|System Upgrade|None|27|2021-02-09|10:30|14:47|1379.21|4.8|467.62|1846.83|3129.04|5|Standard|Complete|2021-02-07|09:00|10:30 (Late)|N/A|Software|Yes
645|775|System Upgrade|None|161|2021-09-10|11:15|12:30|1607.1|1.5|121.29|1728.3899999999999|3023.36|5|Standard|Complete|2021-09-09|10:00|10:45 (Late)|N/A|Network|Yes
1666|447|Custom Installation|568|200|2024-01-17|16:30|16:42|1072.63|0.7|58.39|1131.0200000000002|1928.04|3|Standard|Complete|2024-01-15|11:00|11:30 (Late)|N/A|Integration|Yes
1742|486|Remote Support|489|152|2022-08-08|15:30|20:12|0.0|5.2|412.98|412.98|785.8|3|Standard|Complete|2022-08-06|10:00|11:00 (Late)|N/A|User Training|Yes
1702|696|System Upgrade|None|182|2022-11-28|14:30|18:00|714.67|4.0|214.76|929.43|1817.77|3|Standard|Complete|2022-11-26|13:00|14:45 (Late)|N/A|Hardware|Yes
484|458|Custom Installation|None|167|2023-05-30|08:00|15:05|726.44|7.1|614.01|1340.45|2264.43|4|Standard|Complete|2023-05-29|15:00|15:30 (Late)|N/A|Configuration|Yes
1338|338|System Upgrade|None|200|2023-02-09|16:15|23:05|909.46|7.1|592.21|1501.67|2303.97|4|Standard|Complete|2023-02-07|10:00|11:15 (Late)|N/A|User Training|Yes
695|60|Troubleshooting|None|100|2021-10-07|12:30|16:00|532.57|4.0|361.64|894.21|1594.1|4|Standard|Complete|2021-10-06|16:00|16:30 (Late)|N/A|Configuration|No
825|689|Design Consultation|248|42|2024-06-19|16:00|17:06|0.0|1.1|67.5|67.5|131.96|3|Standard|Complete|2024-06-16|13:00|14:00 (Late)|N/A|Integration|Yes
194|138|Custom Installation|None|32|2021-02-06|16:00|22:17|1115.39|6.3|555.53|1670.92|2773.38|4|Standard|Complete|2021-02-04|10:00|10:15 (Late)|N/A|Network|Yes
389|788|Remote Support|None|8|2024-11-30|08:00|13:35|0.0|5.6|464.91|464.91|707.26|5|Standard|Complete|2024-11-27|15:00|16:30 (Late)|N/A|User Training|Yes
463|455|System Upgrade|None|118|2023-03-15|09:00|11:42|294.04|2.7|189.22|483.26|917.06|3|Standard|Complete|2023-03-15|14:00|14:00|1|Maintenance|Yes
468|446|Remote Support|None|132|2022-01-25|16:15|16:36|0.0|0.6|46.1|46.1|67.51|4|Standard|Complete|2022-01-25|11:00|12:30 (Late)|N/A|Hardware|Yes
1352|92|System Integration|6|127|2022-04-14|11:00|19:41|0.0|8.7|707.83|707.83|1125.31|3|Standard|Complete|2022-04-13|10:00|10:15 (Late)|N/A|Maintenance|Yes
1333|508|System Integration|None|85|2022-03-12|08:15|10:23|0.0|2.4|157.03|157.03|322.4|5|Standard|Complete|2022-03-12|09:00|09:00|1|User Training|Yes
879|278|Custom Installation|None|17|2024-01-17|08:30|10:00|1373.03|2.0|250.82|1623.85|2706.2|5|Standard|Complete|2024-01-14|11:00|12:00 (Late)|N/A|Network|Yes
1627|331|Troubleshooting|1177|107|2025-04-01|14:30|14:42|618.43|0.7|74.52|692.9499999999999|1054.37|5|Standard|Complete|2025-04-01|10:00|11:15 (Late)|N/A|Configuration|No
235|90|Troubleshooting|None|81|2023-08-02|15:45|17:23|1412.93|2.4|213.24|1626.17|3066.59|5|Standard|Followup Required|2023-07-30|15:00|15:15 (Late)|N/A|Software|Yes
1993|375|System Upgrade|None|46|2024-05-22|13:00|16:42|909.9|3.7|265.88|1175.78|1806.03|5|Standard|Complete|2024-05-22|08:00|08:15|1|User Training|Yes
151|9|System Integration|None|6|2023-12-04|10:45|10:30|0.0|0.5|29.93|29.93|53.4|5|Standard|Followup Required|2023-12-01|09:00|09:00 (Late)|N/A|Integration|Yes
1411|59|Custom Installation|None|96|2021-08-27|16:00|18:06|121.7|2.1|118.4|240.10000000000002|344.0|5|Standard|Complete|2021-08-26|16:00|16:15 (Late)|N/A|Configuration|Yes
1229|200|System Upgrade|None|145|2022-03-19|13:30|14:42|254.91|1.7|106.79|361.7|688.78|4|Standard|Complete|2022-03-17|10:00|11:00 (Late)|N/A|Hardware|Yes
816|622|System Upgrade|None|37|2021-03-15|14:00|14:30|752.05|0.5|30.82|782.87|1308.54|4|Standard|Complete|2021-03-14|11:00|12:15 (Late)|N/A|Integration|Yes
1851|539|System Upgrade|778|59|2024-12-23|08:30|20:24|986.85|12.4|1042.72|2029.5700000000002|3054.07|3|Standard|Complete|2024-12-22|14:00|15:00 (Late)|N/A|Integration|No
1581|387|Custom Installation|None|41|2024-01-25|16:15|16:36|178.69|0.6|55.04|233.73|402.85|4|Standard|Complete|2024-01-24|11:00|12:30 (Late)|N/A|Integration|Yes
70|262|Troubleshooting|None|98|2021-07-15|10:00|11:23|106.98|1.4|108.68|215.66000000000003|339.84|4|Standard|Complete|2021-07-13|11:00|11:45 (Late)|N/A|Integration|Yes
1468|598|Remote Support|None|59|2021-01-16|16:30|18:42|0.0|2.7|227.04|227.04|475.85|5|Standard|Complete|2021-01-16|10:00|10:45 (Late)|N/A|Network|No
1799|129|Remote Support|None|6|2024-10-31|09:45|10:18|0.0|1.3|77.83|77.83|131.35|4|Standard|Complete|2024-10-28|13:00|14:45 (Late)|N/A|User Training|Yes
995|377|Premium Maintenance|54|104|2023-07-20|13:30|14:18|38.94|1.3|103.19|142.13|308.63|4|Standard|Complete|2023-07-17|16:00|17:30 (Late)|N/A|Hardware|Yes
1704|619|Troubleshooting|410|27|2024-04-19|16:30|17:53|1291.52|1.9|185.1|1476.62|3125.36|4|Standard|Complete|2024-04-19|11:00|11:00|1|Software|Yes
802|134|Premium Maintenance|597|148|2023-11-14|08:00|12:35|6.47|4.6|398.45|404.92|768.45|4|Standard|Complete|2023-11-11|08:00|09:30 (Late)|N/A|Software|Yes
909|120|Troubleshooting|114|144|2024-08-13|13:45|14:23|1161.17|1.4|156.32|1317.49|2466.05|5|Standard|Complete|2024-08-10|10:00|10:30 (Late)|N/A|Configuration|Yes
1997|375|Troubleshooting|None|90|2023-04-03|11:30|12:42|611.99|1.7|106.5|718.49|1411.38|4|Emergency|Complete|2023-04-01|11:00|11:45 (Late)|N/A|Maintenance|Yes
1916|657|Design Consultation|207|5|2024-06-28|16:45|16:54|0.0|0.9|52.27|52.27|101.04|5|Emergency|Complete|2024-06-28|08:00|08:15|1|User Training|Yes
571|198|Remote Support|395|168|2024-04-19|14:00|17:53|0.0|3.9|513.98|513.98|814.05|5|Standard|Complete|2024-04-18|13:00|13:15 (Late)|N/A|Maintenance|Yes
1890|282|Troubleshooting|1023|30|2024-05-27|08:45|09:11|150.05|1.2|115.04|265.09000000000003|563.4|3|Standard|Complete|2024-05-27|10:00|10:00|1|Integration|Yes
260|726|Design Consultation|None|34|2023-06-16|08:15|08:42|0.0|0.7|36.24|36.24|69.2|4|Standard|Followup Required|2023-06-15|11:00|11:45 (Late)|N/A|Hardware|Yes
1494|81|System Upgrade|45|34|2025-03-22|11:00|12:36|775.65|1.6|82.83|858.48|1226.81|5|Standard|Followup Required|2025-03-22|11:00|11:45 (Late)|N/A|Configuration|No
320|769|Design Consultation|653|40|2024-08-24|12:30|13:11|0.0|1.2|132.95|132.95|256.84|5|Standard|Followup Required|2024-08-21|13:00|14:30 (Late)|N/A|Configuration|No
351|341|System Integration|907|71|2023-02-21|16:00|17:42|0.0|1.7|153.58|153.58|291.33|4|Standard|Complete|2023-02-21|12:00|13:45 (Late)|N/A|Network|Yes
1763|435|Premium Maintenance|None|126|2021-10-13|11:30|12:23|48.14|1.4|113.79|161.93|239.1|5|Standard|Followup Required|2021-10-12|10:00|10:45 (Late)|N/A|Software|Yes
1697|354|Custom Installation|None|84|2023-06-26|12:45|13:00|888.25|1.0|85.5|973.75|2017.33|5|Standard|Complete|2023-06-26|08:00|08:15|1|Maintenance|Yes
1957|329|Premium Maintenance|307|160|2021-11-15|14:30|16:23|60.88|2.4|279.79|340.67|550.87|4|Standard|Complete|2021-11-12|14:00|14:00 (Late)|N/A|Software|Yes
374|678|Design Consultation|1151|154|2023-04-23|11:30|13:06|0.0|2.1|166.51|166.51|305.77|4|Standard|Complete|2023-04-20|15:00|15:00 (Late)|N/A|Software|No
1633|213|Design Consultation|None|90|2021-09-02|16:00|17:48|0.0|1.8|112.77|112.77|206.6|5|Standard|Complete|2021-08-30|15:00|15:45 (Late)|N/A|Configuration|Yes
1991|243|Premium Maintenance|183|41|2025-02-14|12:15|13:42|27.89|1.7|155.96|183.85000000000002|322.56|4|Standard|Complete|2025-02-12|14:00|15:15 (Late)|N/A|Configuration|Yes
2|656|System Upgrade|1111|157|2025-01-20|08:15|09:11|202.2|1.2|127.28|329.48|484.99|5|Standard|Complete|2025-01-20|14:00|14:00|1|Hardware|Yes
21|365|Design Consultation|None|101|2021-09-29|14:15|18:54|0.0|4.9|536.7|536.7|930.6|5|Emergency|Complete|2021-09-29|12:00|12:30 (Late)|N/A|Software|Yes
50|33|Design Consultation|536|60|2025-01-12|15:00|16:36|0.0|1.6|161.82|161.82|324.3|3|Standard|Complete|2025-01-09|09:00|10:15 (Late)|N/A|Integration|Yes
1250|656|Design Consultation|1111|111|2025-01-21|11:15|14:36|0.0|3.6|243.94|243.94|416.71|3|Standard|Complete|2025-01-20|11:00|12:15 (Late)|N/A|Configuration|No
1140|438|Design Consultation|None|1|2021-11-10|11:45|11:48|0.0|0.8|83.23|83.23|128.85|5|Standard|Followup Required|2021-11-07|09:00|10:30 (Late)|N/A|Maintenance|Yes
1729|188|System Upgrade|419|46|2023-12-13|11:30|17:35|284.05|6.6|474.28|758.3299999999999|1162.89|3|Standard|Complete|2023-12-13|13:00|13:45 (Late)|N/A|Integration|Yes
166|599|Troubleshooting|None|117|2025-01-23|10:00|11:00|434.1|1.0|98.47|532.57|768.9|4|Standard|Complete|2025-01-21|11:00|12:00 (Late)|N/A|Network|Yes
1831|497|Custom Installation|1152|174|2024-05-17|12:45|13:53|873.03|1.9|244.59|1117.62|2438.64|3|Standard|Complete|2024-05-14|13:00|13:00 (Late)|N/A|Software|Yes
1618|66|System Integration|695|174|2024-05-09|08:00|10:42|0.0|2.7|347.57|347.57|631.89|5|Standard|Followup Required|2024-05-08|09:00|09:15 (Late)|N/A|Integration|Yes
535|790|System Upgrade|None|89|2022-08-21|14:15|15:36|1615.65|1.6|151.28|1766.93|3120.51|5|Standard|Complete|2022-08-18|13:00|13:30 (Late)|N/A|User Training|Yes
382|209|System Upgrade|956|100|2024-01-16|08:30|11:30|1312.05|3.5|316.44|1628.49|3305.43|3|Standard|Complete|2024-01-14|12:00|12:15 (Late)|N/A|Network|Yes
1705|575|System Upgrade|None|135|2023-06-05|08:30|15:42|122.39|7.7|942.25|1064.64|1901.39|4|Standard|Complete|2023-06-03|11:00|11:00 (Late)|N/A|Integration|Yes
1442|347|Premium Maintenance|904|84|2024-07-29|08:30|13:05|28.57|5.1|436.05|464.62|993.17|5|Standard|Complete|2024-07-29|12:00|12:00|1|Maintenance|Yes
1055|647|Custom Installation|440|105|2025-04-07|15:45|16:06|199.78|1.1|108.42|308.2|573.39|N/A|Standard|Complete|2025-04-06|08:00|09:45 (Late)|N/A|Software|Yes
1061|234|Design Consultation|241|88|2025-04-04|16:45|21:17|0.0|5.3|505.3|505.3|1018.08|N/A|Standard|Complete|2025-04-02|09:00|09:30 (Late)|N/A|Network|Yes
745|86|Design Consultation|None|17|2023-12-23|15:15|16:18|0.0|1.3|163.03|163.03|245.95|5|Standard|Complete|2023-12-22|16:00|17:15 (Late)|N/A|Software|Yes
555|409|Custom Installation|None|88|2022-04-10|11:15|12:18|493.49|1.3|123.94|617.4300000000001|1263.51|4|Standard|Followup Required|2022-04-09|16:00|16:15 (Late)|N/A|Configuration|Yes
472|91|Remote Support|None|43|2022-06-08|14:00|15:06|0.0|1.1|79.76|79.76|118.95|5|Standard|Complete|2022-06-06|10:00|11:30 (Late)|N/A|Configuration|Yes
1640|295|Troubleshooting|349|176|2025-01-30|11:15|12:48|409.81|1.8|200.54|610.35|1115.87|5|Standard|Complete|2025-01-27|11:00|11:00 (Late)|N/A|Network|Yes
603|130|System Integration|143|161|2024-11-25|08:30|11:47|0.0|3.8|307.27|307.27|648.35|4|Standard|Complete|2024-11-22|12:00|13:00 (Late)|N/A|User Training|Yes
1855|712|System Upgrade|677|93|2024-06-11|12:45|13:11|976.28|1.2|105.14|1081.42|2190.22|4|Standard|Complete|2024-06-09|12:00|13:15 (Late)|N/A|Configuration|Yes
428|312|System Upgrade|None|36|2023-11-11|10:00|10:54|1341.66|0.9|89.25|1430.91|3116.48|3|Standard|Complete|2023-11-08|15:00|15:15 (Late)|N/A|Network|No
713|47|Design Consultation|355|70|2024-11-03|11:15|15:54|0.0|4.9|512.44|512.44|923.19|4|Standard|Followup Required|2024-11-01|16:00|16:00 (Late)|N/A|Maintenance|Yes
1876|721|System Upgrade|None|183|2022-02-15|10:30|10:36|1641.27|0.6|78.29|1719.56|2924.19|4|Standard|Complete|2022-02-14|14:00|14:15 (Late)|N/A|User Training|Yes
534|564|System Integration|None|186|2022-08-29|08:00|12:05|0.0|4.1|502.25|502.25|795.42|4|Standard|Complete|2022-08-27|16:00|17:00 (Late)|N/A|Configuration|Yes
562|6|Troubleshooting|None|120|2025-03-31|11:30|14:42|273.55|3.7|403.89|677.44|1012.24|5|Standard|Followup Required|2025-03-30|14:00|14:45 (Late)|N/A|Hardware|Yes
1785|177|Troubleshooting|807|186|2025-01-10|12:30|20:00|401.07|8.0|980.0|1381.07|2620.35|4|Standard|Complete|2025-01-09|15:00|16:15 (Late)|N/A|Hardware|Yes
474|590|Remote Support|None|45|2022-07-14|08:15|09:00|0.0|1.0|71.54|71.54|142.3|3|Standard|Followup Required|2022-07-13|12:00|12:15 (Late)|N/A|Configuration|No
460|225|System Upgrade|None|18|2023-08-07|10:30|17:30|1217.96|7.5|698.33|1916.29|4166.26|5|Standard|Complete|2023-08-04|10:00|10:45 (Late)|N/A|Maintenance|Yes
601|299|Remote Support|None|48|2023-06-13|12:45|15:42|0.0|3.7|212.71|212.71|394.77|4|Standard|Complete|2023-06-12|13:00|14:15 (Late)|N/A|Software|Yes
1124|210|Design Consultation|None|23|2022-07-18|14:30|16:36|0.0|2.6|167.21|167.21|284.64|3|Standard|Complete|2022-07-15|16:00|16:30 (Late)|N/A|Maintenance|Yes
365|517|System Integration|None|49|2024-02-05|13:15|15:36|0.0|2.6|207.79|207.79|373.24|3|Standard|Complete|2024-02-05|16:00|17:45 (Late)|N/A|Hardware|Yes
1980|214|Remote Support|None|153|2023-01-21|13:30|14:00|0.0|1.0|106.31|106.31|233.48|4|Standard|Complete|2023-01-21|11:00|12:30 (Late)|N/A|Integration|No
777|130|Troubleshooting|None|170|2024-03-16|16:45|17:36|624.86|1.6|122.59|747.45|1317.86|3|Standard|Complete|2024-03-15|16:00|17:30 (Late)|N/A|Software|Yes
1929|657|Custom Installation|207|102|2023-09-29|13:00|19:35|1532.48|6.6|433.49|1965.97|2929.69|4|Standard|Complete|2023-09-27|16:00|17:00 (Late)|N/A|Network|Yes
1621|259|Premium Maintenance|577|170|2022-08-23|15:15|22:12|29.81|7.2|551.66|581.4699999999999|1140.31|4|Standard|Complete|2022-08-21|16:00|17:45 (Late)|N/A|User Training|Yes
1386|61|Custom Installation|845|47|2023-10-23|12:30|19:54|860.96|7.9|414.59|1275.55|2129.2|4|Standard|Followup Required|2023-10-23|12:00|13:45 (Late)|N/A|Integration|Yes
1661|378|Troubleshooting|None|94|2022-03-11|16:15|17:23|641.43|1.4|113.43|754.8599999999999|1151.4|5|Standard|Complete|2022-03-09|12:00|12:30 (Late)|N/A|Configuration|Yes
977|26|Troubleshooting|533|103|2024-11-29|16:45|23:12|1474.84|7.2|929.09|2403.93|4047.15|3|Standard|Complete|2024-11-28|14:00|15:00 (Late)|N/A|Hardware|Yes
1822|761|System Upgrade|787|126|2024-08-19|13:30|17:24|42.43|4.4|357.63|400.06|761.57|4|Standard|Complete|2024-08-19|13:00|13:45 (Late)|N/A|Integration|Yes
1324|694|Custom Installation|None|200|2024-01-29|11:45|15:24|838.3|4.4|367.0|1205.3|1865.87|3|Standard|Complete|2024-01-26|16:00|17:30 (Late)|N/A|Software|Yes
1965|596|Premium Maintenance|None|65|2021-08-12|12:45|12:42|106.91|0.7|48.73|155.64|310.02|4|Standard|Complete|2021-08-12|15:00|15:45 (Late)|N/A|Network|Yes
71|768|Premium Maintenance|33|98|2022-08-13|13:00|14:06|81.11|1.1|85.39|166.5|262.92|3|Standard|Complete|2022-08-11|09:00|10:00 (Late)|N/A|Software|Yes
1541|351|Remote Support|675|187|2024-07-24|16:00|17:30|0.0|1.5|111.72|111.72|237.19|3|Standard|Complete|2024-07-23|10:00|10:45 (Late)|N/A|Integration|Yes
495|78|Premium Maintenance|1123|39|2024-02-14|08:00|09:06|70.55|1.1|63.6|134.15|249.51|5|Standard|Complete|2024-02-13|08:00|09:15 (Late)|N/A|Hardware|Yes
691|666|Design Consultation|None|45|2023-11-29|11:45|12:23|0.0|1.4|100.16|100.16|188.7|4|Standard|Complete|2023-11-26|12:00|13:45 (Late)|N/A|Maintenance|Yes
1667|633|Troubleshooting|None|41|2023-11-11|16:15|16:36|515.08|0.6|55.04|570.12|823.34|4|Standard|Complete|2023-11-10|13:00|13:30 (Late)|N/A|Hardware|No
871|219|Premium Maintenance|None|182|2022-04-29|14:30|15:42|42.46|1.7|91.27|133.73|214.55|4|Standard|Complete|2022-04-27|11:00|11:45 (Late)|N/A|Integration|Yes
1142|262|System Upgrade|None|182|2021-03-24|09:00|11:53|849.83|2.9|155.7|1005.53|1957.79|4|Standard|Complete|2021-03-22|08:00|09:30 (Late)|N/A|User Training|No
1156|198|System Integration|None|170|2021-05-25|10:15|11:30|0.0|1.5|114.93|114.93|200.2|5|Standard|Complete|2021-05-24|08:00|09:30 (Late)|N/A|Configuration|Yes
631|495|System Integration|None|194|2021-11-10|09:30|15:30|0.0|6.5|432.84|432.84|801.12|5|Standard|Complete|2021-11-10|16:00|17:30 (Late)|N/A|User Training|No
168|593|Design Consultation|871|30|2023-04-23|09:00|12:17|0.0|3.3|316.37|316.37|590.06|5|Standard|Complete|2023-04-21|10:00|11:30 (Late)|N/A|Network|Yes
189|470|Troubleshooting|23|90|2022-01-10|11:00|12:36|981.3|1.6|100.24|1081.54|2127.75|4|Standard|Complete|2022-01-08|14:00|15:00 (Late)|N/A|Hardware|Yes
897|378|Troubleshooting|None|29|2021-02-13|16:30|18:42|1520.81|2.7|354.81|1875.62|3526.07|5|Standard|Complete|2021-02-10|14:00|15:45 (Late)|N/A|Integration|Yes
1350|224|System Upgrade|1154|144|2021-09-16|13:00|14:23|1502.37|1.4|156.32|1658.6899999999998|2753.43|4|Standard|Complete|2021-09-13|10:00|11:30 (Late)|N/A|Integration|Yes
863|31|System Integration|161|80|2024-05-26|08:00|09:00|0.0|1.0|67.8|67.8|146.33|4|Standard|Complete|2024-05-25|10:00|11:30 (Late)|N/A|Maintenance|Yes
1897|571|Remote Support|None|134|2021-02-16|14:00|15:23|0.0|1.4|101.92|101.92|201.97|5|Standard|Complete|2021-02-15|11:00|12:45 (Late)|N/A|Software|No
1959|64|Design Consultation|None|107|2024-07-10|14:30|19:54|0.0|5.9|628.11|628.11|1098.56|5|Standard|Complete|2024-07-10|16:00|17:15 (Late)|N/A|Maintenance|Yes
485|299|System Upgrade|1129|197|2024-11-27|15:30|18:00|1074.13|3.0|323.85|1397.98|2290.4|4|Standard|Complete|2024-11-26|16:00|16:45 (Late)|N/A|Integration|Yes
