TimelineEntryID|ProjectID|Milestone|EstimatedDate|ActualDate|Status|Notes
84|10|Rough-In Start|2024-12-25|2024-12-27|Completed|
85|10|Rough-In Complete|2024-12-30|2024-12-27|Completed|
86|10|Trim-Out Start|2025-01-01|2025-01-03|Completed|
87|10|Trim-Out Complete|2025-01-12|2025-01-14|Completed|
88|10|Programming Start|2025-01-17|2025-01-15|Completed|
89|10|Programming Complete|2025-01-18|2025-01-28|Completed|Delayed - Inspections
90|10|Final Walkthrough|2025-01-27|2025-02-02|Completed|
91|11|Design Approval|2023-09-13|2023-09-21|Completed|Delayed - Inspections
92|11|Materials Ordered|2023-09-27|2023-09-27|Completed|
93|11|Rough-In Start|2023-10-05|2023-09-29|Completed|
94|11|Rough-In Complete|2023-10-30|2023-11-08|Completed|Delayed - Inspections
95|11|Trim-Out Start|2023-11-13|2023-11-21|Completed|Delayed - Materials
96|11|Trim-Out Complete|2023-11-23|2023-12-03|Completed|Delayed - Inspections
97|11|Programming Start|2023-12-06|2023-12-08|Completed|
98|11|Programming Complete|2023-12-28|2023-12-30|Completed|
99|11|Final Walkthrough|2024-01-10|2024-01-09|Completed|
100|12|Design Approval|2024-10-05|2024-10-13|Completed|Delayed - Materials
101|12|Materials Ordered|2024-10-14|2024-10-23|Completed|Delayed - Inspections
102|12|Rough-In Start|2024-10-19|2024-10-31|Completed|Delayed - Inspections
103|12|Rough-In Complete|2024-10-29|2024-11-04|Completed|Delayed - Inspections
104|12|Trim-Out Start|2024-11-05|2024-11-17|Completed|Delayed - Inspections
105|12|Trim-Out Complete|2024-11-22|2024-11-27|Completed|
106|12|Programming Start|2024-11-29|2024-12-01|Completed|
107|12|Programming Complete|2024-12-10|2024-12-18|Completed|Delayed - Client Request
108|12|Final Walkthrough|2024-12-11|2024-12-19|Completed|
109|13|Design Approval|2024-02-03|2024-01-28|Completed|
110|13|Materials Ordered|2024-02-23|2024-02-19|Completed|
111|13|Rough-In Start|2024-03-10|2024-03-08|Completed|
112|13|Rough-In Complete|2024-03-21|2024-03-21|Completed|
113|13|Trim-Out Start|2024-04-09|2024-04-12|Completed|
114|13|Trim-Out Complete|2024-04-29|2024-05-11|Completed|Delayed - Inspections
115|13|Programming Start|2024-05-08|2024-05-19|Completed|Delayed - Materials
116|13|Programming Complete|2024-05-24|2024-06-07|Completed|Delayed - Inspections
117|13|Final Walkthrough|2024-06-05|2024-06-07|Completed|
118|14|Design Approval|2022-11-27|2022-11-29|Completed|
119|14|Materials Ordered|2022-12-15|2022-12-12|Completed|
120|14|Rough-In Start|2022-12-22|2022-12-28|Completed|Slight delay - Materials
121|14|Rough-In Complete|2023-01-15|2023-01-18|Completed|
122|14|Trim-Out Start|2023-02-02|2023-02-02|Completed|
123|14|Trim-Out Complete|2023-02-13|2023-02-22|Completed|Ahead of schedule
124|14|Programming Start|2023-02-28|2023-02-25|Completed|
125|14|Programming Complete|2023-03-12|2023-03-16|Completed|Slight delay - Materials
126|14|Final Walkthrough|2023-03-29|2023-04-01|Completed|
127|15|Design Approval|2025-02-03|2025-02-13|Completed|Delayed - Client Request
128|15|Materials Ordered|2025-02-12|2025-02-14|Completed|
129|15|Rough-In Start|2025-02-18|2025-02-16|Completed|
130|15|Rough-In Complete|2025-02-19|2025-02-21|Completed|
131|15|Trim-Out Start|2025-02-28|2025-02-21|Completed|
132|15|Trim-Out Complete|2025-03-01|2025-02-26|Completed|
133|15|Programming Start|2025-03-03|2025-03-07|Completed|
134|15|Programming Complete|2025-03-04|2025-03-11|Completed|Delayed - Client Request
135|15|Final Walkthrough|2025-03-07|2025-03-20|Completed|Delayed - Client Request
136|17|Design Approval|2025-01-16|2025-01-29|Completed|Delayed - Inspections
137|17|Materials Ordered|2025-01-23|2025-02-03|Completed|
138|17|Rough-In Start|2025-02-03|2025-02-10|Completed|Delayed - Inspections
139|17|Rough-In Complete|2025-02-21|2025-02-28|Completed|Delayed - Client Request
140|17|Trim-Out Start|2025-03-01|2025-03-15|Completed|Delayed - Materials
141|17|Trim-Out Complete|2025-03-10|2025-03-16|Completed|
142|17|Programming Start|2025-03-20|2025-03-20|Completed|
143|17|Programming Complete|2025-03-31|2025-03-28|Completed|
144|17|Final Walkthrough|2025-04-03|2025-04-06|Completed|
145|18|Design Approval|2024-12-08|2024-12-16|Completed|Delayed - Client Request
146|18|Materials Ordered|2024-12-10|2024-12-23|Completed|Delayed - Inspections
147|18|Rough-In Start|2024-12-23|2024-12-27|Completed|
148|18|Rough-In Complete|2024-12-24|2025-01-04|Completed|Delayed - Client Request
149|18|Trim-Out Start|2025-01-02|2025-01-08|Completed|
150|18|Trim-Out Complete|2025-01-03|2025-01-11|Completed|
151|18|Programming Start|2025-01-06|2025-01-17|Completed|
152|18|Programming Complete|2025-01-18|2025-01-21|Completed|
153|18|Final Walkthrough|2025-01-26|2025-01-25|Completed|
154|19|Design Approval|2022-02-14|2022-02-08|Completed|
155|19|Materials Ordered|2022-02-27|2022-03-05|Completed|Delayed - Inspections
156|19|Rough-In Start|2022-03-16|2022-03-11|Completed|
157|19|Rough-In Complete|2022-04-01|2022-03-31|Completed|
158|19|Trim-Out Start|2022-04-19|2022-04-21|Completed|
159|19|Trim-Out Complete|2022-05-01|2022-05-01|Completed|
160|19|Programming Start|2022-05-23|2022-05-27|Completed|
161|19|Programming Complete|2022-06-07|2022-06-21|Completed|Delayed - Client Request
162|19|Final Walkthrough|2022-06-25|2022-06-30|Completed|
163|21|Design Approval|2024-07-09|2024-07-09|Completed|
164|21|Materials Ordered|2024-07-15|2024-07-15|Completed|
165|21|Rough-In Start|2024-07-27|2024-07-23|Completed|
166|21|Rough-In Complete|2024-08-05|2024-08-10|Completed|
167|21|Trim-Out Start|2024-08-11|2024-08-13|Completed|
168|21|Trim-Out Complete|2024-08-12|2024-08-13|Completed|
169|21|Programming Start|2024-08-16|2024-08-14|Completed|
170|21|Programming Complete|2024-08-25|2024-08-19|Completed|
171|21|Final Walkthrough|2024-08-30|2024-09-01|Completed|
172|22|Design Approval|2023-05-03|TBD|Pending|
173|22|Materials Ordered|2023-05-24|TBD|Pending|
174|22|Rough-In Start|2023-06-16|TBD|Pending|
175|22|Rough-In Complete|2023-06-30|TBD|Pending|
176|22|Trim-Out Start|2023-07-17|TBD|Pending|
177|22|Trim-Out Complete|2023-08-05|TBD|Pending|
178|22|Programming Start|2023-09-01|TBD|Pending|
179|22|Programming Complete|2023-09-22|TBD|Pending|
180|22|Final Walkthrough|2023-10-05|TBD|Pending|
181|23|Design Approval|2021-04-12|2021-04-13|Completed|
182|23|Materials Ordered|2021-04-23|2021-04-19|Completed|
183|23|Rough-In Start|2021-04-28|2021-04-30|Completed|
184|23|Rough-In Complete|2021-05-11|2021-05-14|Completed|
185|23|Trim-Out Start|2021-05-23|2021-05-26|Completed|
186|23|Trim-Out Complete|2021-05-29|2021-05-27|Completed|
187|23|Programming Start|2021-06-13|2021-06-20|Completed|Delayed - Inspections
188|23|Programming Complete|2021-06-17|2021-06-22|Completed|
189|23|Final Walkthrough|2021-06-26|2021-06-27|Completed|
190|24|Design Approval|2021-11-19|2021-11-19|Completed|
191|24|Materials Ordered|2021-11-25|2021-12-05|Completed|Slight delay - Materials
192|24|Rough-In Start|2021-12-03|2021-12-08|Completed|
193|24|Rough-In Complete|2021-12-04|2021-12-13|Completed|
194|24|Trim-Out Start|2021-12-05|2021-12-17|Completed|
195|24|Trim-Out Complete|2021-12-07|2021-12-21|Completed|Ahead of schedule
196|24|Programming Start|2021-12-11|2021-12-24|Completed|
197|24|Programming Complete|2021-12-21|2021-12-25|Completed|Slight delay - Materials
198|24|Final Walkthrough|2021-12-22|2022-01-01|Completed|Ahead of schedule
199|25|Design Approval|2023-08-12|2023-08-17|Completed|
200|25|Materials Ordered|2023-08-15|2023-08-20|Completed|
201|25|Rough-In Start|2023-08-26|2023-08-26|Completed|
202|25|Rough-In Complete|2023-09-05|2023-09-03|Completed|
203|25|Trim-Out Start|2023-09-13|2023-09-06|Completed|
204|25|Trim-Out Complete|2023-09-21|2023-09-14|Completed|
205|25|Programming Start|2023-10-02|2023-10-16|Completed|Delayed - Materials
206|25|Programming Complete|2023-10-09|2023-10-22|Completed|Delayed - Materials
207|25|Final Walkthrough|2023-10-20|2023-10-22|Completed|
208|26|Design Approval|2024-02-01|2024-02-03|Completed|
209|26|Materials Ordered|2024-02-14|2024-02-08|Completed|
210|26|Rough-In Start|2024-02-26|2024-02-22|Completed|
211|26|Rough-In Complete|2024-03-11|2024-03-25|Completed|Delayed - Client Request
212|26|Trim-Out Start|2024-03-30|2024-03-28|Completed|
213|26|Trim-Out Complete|2024-04-14|2024-04-14|Completed|
214|26|Programming Start|2024-04-29|2024-05-02|Completed|
215|26|Programming Complete|2024-05-14|2024-05-11|Completed|
216|26|Final Walkthrough|2024-06-01|2024-05-31|Completed|
217|27|Design Approval|2024-03-19|2024-03-16|Completed|
218|27|Materials Ordered|2024-04-03|2024-03-28|Completed|
219|27|Rough-In Start|2024-04-23|2024-04-29|Completed|Delayed - Materials
220|27|Rough-In Complete|2024-05-15|2024-05-26|Completed|Delayed - Client Request
221|27|Trim-Out Start|2024-06-04|2024-06-02|Completed|
222|27|Trim-Out Complete|2024-06-13|2024-06-18|Completed|
223|27|Programming Start|2024-07-11|2024-07-19|Completed|Delayed - Inspections
224|27|Programming Complete|2024-07-30|2024-08-03|Completed|
225|27|Final Walkthrough|2024-08-11|2024-08-25|Completed|Delayed - Inspections
226|28|Design Approval|2021-10-25|2021-10-27|Completed|
227|28|Materials Ordered|2021-11-07|2021-11-15|Completed|Delayed - Materials
228|28|Rough-In Start|2021-11-26|2021-11-23|Completed|
229|28|Rough-In Complete|2021-12-04|2021-11-30|Completed|
230|28|Trim-Out Start|2021-12-27|2022-01-05|Completed|Delayed - Materials
231|28|Trim-Out Complete|2022-01-03|2022-01-09|Completed|
232|28|Programming Start|2022-01-21|2022-01-20|Completed|
233|28|Programming Complete|2022-01-31|2022-02-08|Completed|Delayed - Inspections
234|28|Final Walkthrough|2022-02-09|2022-02-10|Completed|
235|29|Design Approval|2024-12-14|TBD|Pending|
236|29|Materials Ordered|2024-12-15|TBD|Pending|
237|29|Rough-In Start|2024-12-27|TBD|Pending|
238|29|Rough-In Complete|2024-12-28|TBD|Pending|
239|29|Trim-Out Start|2025-01-03|TBD|Pending|
240|29|Trim-Out Complete|2025-01-06|TBD|Pending|
241|29|Programming Start|2025-01-18|TBD|Pending|
242|29|Programming Complete|2025-01-23|TBD|Pending|
243|29|Final Walkthrough|2025-01-29|TBD|Pending|
244|30|Design Approval|2021-07-19|2021-07-19|Completed|
245|30|Materials Ordered|2021-07-23|2021-08-06|Completed|Delayed - Inspections
246|30|Rough-In Start|2021-07-29|2021-08-12|Completed|Delayed - Materials
247|30|Rough-In Complete|2021-08-10|2021-08-13|Completed|
248|30|Trim-Out Start|2021-08-17|2021-08-26|Completed|Delayed - Materials
249|30|Trim-Out Complete|2021-08-25|2021-09-01|Completed|Delayed - Client Request
250|30|Programming Start|2021-08-30|2021-09-05|Completed|Delayed - Inspections
251|30|Programming Complete|2021-09-04|2021-09-07|Completed|
252|30|Final Walkthrough|2021-09-06|2021-09-18|Completed|Delayed - Inspections
253|32|Design Approval|2024-04-13|2024-04-06|Completed|
254|32|Materials Ordered|2024-04-27|2024-05-02|Completed|
255|32|Rough-In Start|2024-05-05|2024-05-18|Completed|Delayed - Materials
256|32|Rough-In Complete|2024-05-09|2024-05-21|Completed|Delayed - Inspections
257|32|Trim-Out Start|2024-05-16|2024-05-28|Completed|Delayed - Inspections
258|32|Trim-Out Complete|2024-05-27|2024-06-06|Completed|Delayed - Materials
259|32|Programming Start|2024-05-28|2024-06-10|Completed|Delayed - Materials
260|32|Programming Complete|2024-06-11|2024-06-14|Completed|
261|32|Final Walkthrough|2024-06-23|2024-06-22|Completed|
262|33|Design Approval|2022-04-23|TBD|Pending|
263|33|Materials Ordered|2022-04-28|TBD|Pending|
264|33|Rough-In Start|2022-05-06|TBD|Pending|
265|33|Rough-In Complete|2022-05-16|TBD|Pending|
266|33|Trim-Out Start|2022-05-26|TBD|Pending|
267|33|Trim-Out Complete|2022-06-01|TBD|Pending|
268|33|Programming Start|2022-06-06|TBD|Pending|
269|33|Programming Complete|2022-06-10|TBD|Pending|
270|33|Final Walkthrough|2022-06-21|TBD|Pending|
271|34|Design Approval|2025-04-01|TBD|Pending|
272|34|Materials Ordered|2025-04-12|TBD|Pending|
273|34|Rough-In Start|2025-04-28|TBD|Pending|
274|34|Rough-In Complete|2025-05-16|TBD|Pending|
275|34|Trim-Out Start|2025-05-29|TBD|Pending|
276|34|Trim-Out Complete|2025-06-15|TBD|Pending|
277|34|Programming Start|2025-06-26|TBD|Pending|
278|34|Programming Complete|2025-07-16|TBD|Pending|
279|34|Final Walkthrough|2025-07-30|TBD|Pending|
280|35|Design Approval|2021-04-21|2021-04-28|Completed|Slight delay - Materials
281|35|Materials Ordered|2021-05-04|2021-05-09|Completed|Ahead of schedule
282|35|Rough-In Start|2021-05-06|2021-05-11|Completed|Ahead of schedule
283|35|Rough-In Complete|2021-05-17|2021-05-17|Completed|
284|35|Trim-Out Start|2021-05-20|2021-05-18|Completed|
285|35|Trim-Out Complete|2021-06-03|2021-06-06|Completed|
286|35|Programming Start|2021-06-04|2021-06-10|Completed|Ahead of schedule
287|35|Programming Complete|2021-06-08|2021-06-16|Completed|Slight delay - Materials
288|35|Final Walkthrough|2021-06-22|2021-06-19|Completed|
289|36|Design Approval|2025-04-09|TBD|Pending|
290|36|Materials Ordered|2025-04-19|TBD|Pending|
291|36|Rough-In Start|2025-04-21|TBD|Pending|
292|36|Rough-In Complete|2025-05-02|TBD|Pending|
293|36|Trim-Out Start|2025-05-03|TBD|Pending|
294|36|Trim-Out Complete|2025-05-08|TBD|Pending|
295|36|Programming Start|2025-05-13|TBD|Pending|
296|36|Programming Complete|2025-05-17|TBD|Pending|
297|36|Final Walkthrough|2025-05-24|TBD|Pending|
298|37|Design Approval|2021-05-06|2021-05-12|Completed|Slight delay - Materials
299|37|Materials Ordered|2021-05-13|2021-05-22|Completed|Slight delay - Materials
300|37|Rough-In Start|2021-05-31|2021-05-31|Completed|
301|37|Rough-In Complete|2021-06-08|2021-06-11|Completed|
302|37|Trim-Out Start|2021-06-12|2021-06-13|Completed|
303|37|Trim-Out Complete|2021-06-22|2021-07-02|Completed|Slight delay - Materials
304|37|Programming Start|2021-07-07|2021-07-12|Completed|Ahead of schedule
305|37|Programming Complete|2021-07-21|2021-07-27|Completed|Ahead of schedule
306|37|Final Walkthrough|2021-07-31|2021-08-05|Completed|Ahead of schedule
307|38|Design Approval|2024-11-10|TBD|Pending|
308|38|Materials Ordered|2024-11-20|TBD|Pending|
309|38|Rough-In Start|2024-11-21|TBD|Pending|
310|38|Rough-In Complete|2024-12-01|TBD|Pending|
311|38|Trim-Out Start|2024-12-04|TBD|Pending|
312|38|Trim-Out Complete|2024-12-10|TBD|Pending|
313|38|Programming Start|2024-12-11|TBD|Pending|
314|38|Programming Complete|2024-12-22|TBD|Pending|
315|38|Final Walkthrough|2024-12-28|TBD|Pending|
316|39|Design Approval|2021-03-17|2021-03-27|Completed|Ahead of schedule
317|39|Materials Ordered|2021-04-04|2021-04-13|Completed|Ahead of schedule
318|39|Rough-In Start|2021-04-27|2021-05-07|Completed|Ahead of schedule
319|39|Rough-In Complete|2021-05-09|2021-05-11|Completed|
320|39|Trim-Out Start|2021-06-02|2021-06-10|Completed|Slight delay - Materials
321|39|Trim-Out Complete|2021-06-16|2021-06-19|Completed|
322|39|Programming Start|2021-07-06|2021-07-16|Completed|Ahead of schedule
323|39|Programming Complete|2021-07-29|2021-07-31|Completed|
324|39|Final Walkthrough|2021-08-13|2021-08-18|Completed|Slight delay - Materials
325|40|Design Approval|2023-04-21|2023-04-18|Completed|
326|40|Materials Ordered|2023-05-11|2023-05-12|Completed|
327|40|Rough-In Start|2023-05-28|2023-06-11|Completed|Delayed - Materials
328|40|Rough-In Complete|2023-06-09|2023-06-17|Completed|Delayed - Materials
329|40|Trim-Out Start|2023-06-23|2023-07-07|Completed|Delayed - Client Request
330|40|Trim-Out Complete|2023-07-03|2023-07-09|Completed|
331|40|Programming Start|2023-07-22|2023-08-01|Completed|Delayed - Client Request
332|40|Programming Complete|2023-08-02|2023-08-12|Completed|Delayed - Materials
333|40|Final Walkthrough|2023-08-17|2023-08-23|Completed|Delayed - Inspections
334|41|Design Approval|2022-06-15|2022-06-19|Completed|Slight delay - Materials
335|41|Materials Ordered|2022-06-18|2022-06-21|Completed|
336|41|Rough-In Start|2022-06-23|2022-07-01|Completed|Slight delay - Materials
337|41|Rough-In Complete|2022-06-24|2022-07-02|Completed|Slight delay - Materials
338|41|Trim-Out Start|2022-06-25|2022-07-06|Completed|
339|41|Trim-Out Complete|2022-06-29|2022-07-08|Completed|Ahead of schedule
340|41|Programming Start|2022-07-05|2022-07-13|Completed|Slight delay - Materials
341|41|Programming Complete|2022-07-09|2022-07-18|Completed|Slight delay - Materials
342|41|Final Walkthrough|2022-07-13|2022-07-22|Completed|
343|42|Design Approval|2024-08-30|2024-08-23|Completed|
344|42|Materials Ordered|2024-09-02|2024-08-30|Completed|
345|42|Rough-In Start|2024-09-14|2024-09-19|Completed|
346|42|Rough-In Complete|2024-09-24|2024-09-23|Completed|
347|42|Trim-Out Start|2024-10-01|2024-09-26|Completed|
348|42|Trim-Out Complete|2024-10-08|2024-10-02|Completed|
349|42|Programming Start|2024-10-09|2024-10-20|Completed|Delayed - Inspections
350|42|Programming Complete|2024-10-24|2024-10-28|Completed|
351|42|Final Walkthrough|2024-10-28|2024-11-01|Completed|
352|43|Design Approval|2025-03-18|2025-03-25|Completed|Ahead of schedule
353|43|Materials Ordered|2025-04-02|TBD|Pending|
354|43|Rough-In Start|2025-04-22|TBD|Pending|
355|43|Rough-In Complete|2025-05-11|TBD|Pending|
356|43|Trim-Out Start|2025-05-29|TBD|Pending|
357|43|Trim-Out Complete|2025-06-18|TBD|Pending|
358|43|Programming Start|2025-07-01|TBD|Pending|
359|43|Programming Complete|2025-07-28|TBD|Pending|
360|43|Final Walkthrough|2025-08-11|TBD|Pending|
361|46|Design Approval|2023-02-12|2023-02-05|Completed|
362|46|Materials Ordered|2023-02-25|2023-03-10|Completed|Delayed - Inspections
363|46|Rough-In Start|2023-03-14|2023-03-27|Completed|Delayed - Materials
364|46|Rough-In Complete|2023-03-30|2023-04-13|Completed|Delayed - Inspections
365|46|Trim-Out Start|2023-04-18|2023-04-17|Completed|
366|46|Trim-Out Complete|2023-05-07|2023-05-05|Completed|
367|46|Programming Start|2023-05-23|2023-05-20|Completed|
368|46|Programming Complete|2023-06-20|2023-06-19|Completed|
369|46|Final Walkthrough|2023-07-02|2023-07-02|Completed|
370|47|Design Approval|2023-06-30|2023-07-07|Completed|Slight delay - Materials
371|47|Materials Ordered|2023-07-15|2023-07-18|Completed|
372|47|Rough-In Start|2023-08-04|2023-08-05|Completed|
373|47|Rough-In Complete|2023-08-19|2023-08-16|Completed|
374|47|Trim-Out Start|2023-09-07|2023-09-02|Completed|
375|47|Trim-Out Complete|2023-09-22|2023-09-29|Completed|Slight delay - Materials
376|47|Programming Start|2023-10-09|2023-10-13|Completed|Slight delay - Materials
377|47|Programming Complete|2023-10-20|2023-10-21|Completed|
378|47|Final Walkthrough|2023-11-11|2023-11-11|Completed|
379|48|Design Approval|2021-02-16|2021-02-27|Completed|Delayed - Inspections
380|48|Materials Ordered|2021-02-20|2021-03-03|Completed|
381|48|Rough-In Start|2021-02-27|2021-03-10|Completed|
382|48|Rough-In Complete|2021-03-05|2021-03-18|Completed|Delayed - Client Request
383|48|Trim-Out Start|2021-03-08|2021-03-19|Completed|
384|48|Trim-Out Complete|2021-03-13|2021-03-26|Completed|
385|48|Programming Start|2021-03-14|2021-03-28|Completed|
386|48|Programming Complete|2021-03-16|2021-04-02|Completed|Delayed - Inspections
387|48|Final Walkthrough|2021-03-17|2021-04-07|Completed|Delayed - Materials
388|49|Design Approval|2022-07-30|TBD|Pending|
389|49|Materials Ordered|2022-08-15|TBD|Pending|
390|49|Rough-In Start|2022-08-31|TBD|Pending|
391|49|Rough-In Complete|2022-09-17|TBD|Pending|
392|49|Trim-Out Start|2022-09-30|TBD|Pending|
393|49|Trim-Out Complete|2022-10-10|TBD|Pending|
394|49|Programming Start|2022-10-28|TBD|Pending|
395|49|Programming Complete|2022-11-11|TBD|Pending|
396|49|Final Walkthrough|2022-11-19|TBD|Pending|
397|50|Design Approval|2022-05-30|2022-05-28|Completed|
398|50|Materials Ordered|2022-06-10|2022-06-09|Completed|
399|50|Rough-In Start|2022-06-11|2022-06-25|Completed|Delayed - Materials
400|50|Rough-In Complete|2022-06-23|2022-07-01|Completed|Delayed - Inspections
401|50|Trim-Out Start|2022-07-05|2022-07-05|Completed|
402|50|Trim-Out Complete|2022-07-06|2022-07-08|Completed|
403|50|Programming Start|2022-07-16|2022-07-27|Completed|Delayed - Inspections
404|50|Programming Complete|2022-07-19|2022-07-28|Completed|
405|50|Final Walkthrough|2022-08-06|2022-08-16|Completed|Delayed - Materials
406|51|Design Approval|2025-02-20|TBD|Pending|
407|51|Materials Ordered|2025-03-10|TBD|Pending|
408|51|Rough-In Start|2025-04-01|TBD|Pending|
409|51|Rough-In Complete|2025-04-21|TBD|Pending|
410|51|Trim-Out Start|2025-05-05|TBD|Pending|
411|51|Trim-Out Complete|2025-05-24|TBD|Pending|
412|51|Programming Start|2025-06-10|TBD|Pending|
413|51|Programming Complete|2025-06-26|TBD|Pending|
414|51|Final Walkthrough|2025-07-19|TBD|Pending|
415|52|Design Approval|2024-02-23|2024-03-03|Completed|Ahead of schedule
416|52|Materials Ordered|2024-02-29|2024-03-06|Completed|
417|52|Rough-In Start|2024-03-07|2024-03-13|Completed|Ahead of schedule
418|52|Rough-In Complete|2024-03-15|2024-03-17|Completed|
419|52|Trim-Out Start|2024-03-20|2024-03-18|Completed|
420|52|Trim-Out Complete|2024-03-31|2024-04-09|Completed|Ahead of schedule
421|52|Programming Start|2024-04-08|2024-04-14|Completed|
