BidID|CustomerID|BidDate|ProjectType|BidAmount|Status|RelatedProjectID|DeclineReason|CompetitorPrice|SalesPersonID
107|253|2022-10-28|Automated Shading Solutions|272660.05|Won|225|N/A|Unknown|13
108|188|2022-11-15|Voice Control Integration|76811.46|Won|419|N/A|Unknown|109
109|442|2025-02-01|Whole Home Battery Backup|171603.54|Won|1052|N/A|Unknown|150
110|764|2022-10-12|Automated Shading Solutions|241068.29|Won|368|N/A|Unknown|106
111|233|2021-03-07|Whole Home Battery Backup|40080.44|Won|411|N/A|Unknown|121
112|521|2023-04-07|Automated Lighting Control|109999.3|Won|530|N/A|Unknown|188
113|728|2023-10-24|Custom Security System|121341.85|Won|968|N/A|Unknown|15
114|357|2023-03-18|Biometric Security System|22735.53|Won|670|N/A|Unknown|195
115|424|2023-01-21|Whole Home Battery Backup|25559.74|Won|1182|N/A|Unknown|151
116|540|2023-05-18|Automated Shading Solutions|370272.9|Won|234|N/A|Unknown|63
117|73|2022-11-17|Home Network Infrastructure|291448.13|Won|765|N/A|Unknown|184
118|584|2023-03-18|Biometric Security System|79844.25|Won|456|N/A|Unknown|116
119|473|2021-04-08|Custom Wine Cellar Monitoring|362895.39|Won|827|N/A|Unknown|3
120|422|2024-02-11|Automated Shading Solutions|261291.44|Won|989|N/A|Unknown|121
121|584|2023-11-10|Custom Security System|25694.71|Won|163|N/A|Unknown|162
122|723|2024-02-15|Smart Water Management|98077.12|Won|1126|N/A|Unknown|158
123|402|2023-04-27|Biometric Security System|185238.85|Won|1074|N/A|Unknown|13
124|329|2022-10-30|Golf Simulator Room|180278.9|Won|572|N/A|Unknown|196
125|510|2023-07-01|Home Network Infrastructure|259665.54|Won|1093|N/A|Unknown|56
126|467|2024-02-13|Custom Wine Cellar Monitoring|115785.82|Won|692|N/A|Unknown|3
127|432|2021-12-10|Whole-Home Automation|104979.7|Won|263|N/A|Unknown|188
128|770|2023-11-29|Whole Home Battery Backup|284626.95|Won|628|N/A|Unknown|110
129|265|2023-07-21|Smart Home Integration|270506.1|Won|873|N/A|Unknown|147
130|641|2021-02-27|Integrated Climate Control|112006.68|Won|1179|N/A|Unknown|184
131|204|2021-10-10|Golf Simulator Room|335684.61|Won|983|N/A|Unknown|164
132|513|2021-09-14|Smart Water Management|236816.33|Won|445|N/A|Unknown|198
133|416|2024-01-23|Voice Control Integration|248378.8|Won|297|N/A|Unknown|162
134|52|2023-08-30|Outdoor Entertainment System|343973.89|Won|208|N/A|Unknown|28
135|601|2022-07-19|Smart Home Integration|212245.88|Won|189|N/A|Unknown|142
136|221|2024-12-04|Voice Control Integration|102492.58|Won|560|N/A|Unknown|121
137|310|2022-01-14|Whole Home Battery Backup|314602.98|Won|300|N/A|Unknown|52
138|65|2023-03-30|Multi-Room Audio Video|24235.28|Won|684|N/A|Unknown|121
139|443|2022-01-19|Luxury Home Theater|295815.07|Won|583|N/A|Unknown|57
140|9|2021-06-30|Custom Wine Cellar Monitoring|233784.34|Won|358|N/A|Unknown|21
141|189|2021-10-30|Whole-Home Automation|43355.74|Won|24|N/A|Unknown|75
142|152|2024-07-17|Voice Control Integration|63601.86|Won|57|N/A|Unknown|13
143|630|2023-08-11|Golf Simulator Room|85601.97|Won|387|N/A|Unknown|130
144|416|2021-06-17|Integrated Climate Control|293574.33|Won|68|N/A|Unknown|151
145|776|2024-02-18|Whole-Home Automation|294710.86|Won|236|N/A|Unknown|139
146|747|2021-01-04|Smart Home Integration|31511.59|Won|224|N/A|Unknown|121
147|48|2021-05-04|Whole Home Battery Backup|263140.52|Won|624|N/A|Unknown|139
148|65|2021-03-17|Multi-Room Audio Video|327721.87|Won|5|N/A|Unknown|146
149|372|2023-10-09|Multi-Room Audio Video|374968.84|Won|176|N/A|Unknown|12
150|690|2023-09-06|Integrated Climate Control|243463.25|Won|374|N/A|Unknown|147
151|263|2020-11-09|Home Network Infrastructure|291825.23|Won|848|N/A|Unknown|196
152|327|2025-01-05|Home Network Infrastructure|181973.96|Won|170|N/A|Unknown|190
153|7|2022-11-24|Smart Water Management|230463.01|Won|723|N/A|Unknown|54
154|678|2022-10-03|Golf Simulator Room|332285.17|Won|1151|N/A|Unknown|195
155|770|2025-01-25|Multi-Room Audio Video|27321.03|Won|182|N/A|Unknown|20
156|63|2021-12-13|Whole Home Battery Backup|132164.33|Won|1056|N/A|Unknown|12
157|243|2025-01-20|Integrated Climate Control|330509.99|Won|183|N/A|Unknown|35
158|458|2024-12-27|Multi-Room Audio Video|138065.24|Won|910|N/A|Unknown|16
159|197|2021-03-28|Custom Security System|320328.84|Won|779|N/A|Unknown|162
160|399|2021-07-20|Voice Control Integration|111649.65|Won|508|N/A|Unknown|58
161|550|2021-08-15|Voice Control Integration|334632.09|Won|951|N/A|Unknown|16
162|90|2022-05-09|Home Network Infrastructure|315509.17|Won|887|N/A|Unknown|196
163|183|2021-06-29|Automated Lighting Control|280130.86|Won|243|N/A|Unknown|189
164|247|2021-08-20|Golf Simulator Room|176984.47|Won|351|N/A|Unknown|184
165|5|2020-12-25|Integrated Climate Control|308823.47|Won|172|N/A|Unknown|9
166|722|2022-03-12|Luxury Home Theater|142202.8|Won|1174|N/A|Unknown|164
167|317|2022-11-14|Custom Security System|355784.94|Won|981|N/A|Unknown|58
168|258|2023-04-15|Custom Security System|303634.18|Won|196|N/A|Unknown|52
169|230|2023-04-26|Whole Home Battery Backup|226938.71|Won|1146|N/A|Unknown|86
170|47|2021-08-11|Voice Control Integration|325737.48|Won|1071|N/A|Unknown|15
171|368|2024-12-21|Luxury Home Theater|122641.31|Won|555|N/A|Unknown|79
172|460|2023-06-14|Golf Simulator Room|277518.97|Won|974|N/A|Unknown|9
173|189|2021-08-20|Outdoor Entertainment System|66206.39|Won|270|N/A|Unknown|169
174|303|2023-05-06|Automated Shading Solutions|201585.99|Won|860|N/A|Unknown|131
175|9|2024-02-15|Automated Shading Solutions|78218.99|Won|27|N/A|Unknown|158
176|456|2021-11-08|Luxury Home Theater|347308.17|Won|728|N/A|Unknown|198
177|272|2022-11-14|Luxury Home Theater|31591.74|Won|720|N/A|Unknown|130
178|584|2024-07-01|Home Network Infrastructure|208339.78|Won|390|N/A|Unknown|141
179|79|2022-03-04|Whole-Home Automation|247737.86|Won|931|N/A|Unknown|123
180|571|2024-06-27|Voice Control Integration|250857.68|Won|735|N/A|Unknown|184
181|223|2021-05-14|Whole Home Battery Backup|360594.89|Won|908|N/A|Unknown|12
182|4|2021-11-08|Smart Home Integration|61192.07|Won|946|N/A|Unknown|106
183|130|2021-09-25|Automated Shading Solutions|63676.42|Won|901|N/A|Unknown|150
184|63|2023-07-16|Multi-Room Audio Video|256193.13|Won|511|N/A|Unknown|86
185|69|2022-11-29|Voice Control Integration|69347.39|Won|771|N/A|Unknown|179
186|663|2025-02-03|Multi-Room Audio Video|109799.69|Won|884|N/A|Unknown|21
187|409|2024-01-15|Automated Lighting Control|322997.47|Won|356|N/A|Unknown|12
188|27|2023-12-17|Golf Simulator Room|231793.2|Won|523|N/A|Unknown|179
189|406|2024-03-24|Automated Shading Solutions|182497.81|Won|868|N/A|Unknown|195
190|573|2021-01-01|Whole Home Battery Backup|24457.27|Won|117|N/A|Unknown|16
191|371|2025-01-12|Automated Shading Solutions|75343.21|Won|487|N/A|Unknown|125
192|614|2023-03-05|Whole-Home Automation|53948.56|Won|680|N/A|Unknown|124
193|454|2023-04-04|Voice Control Integration|87577.35|Won|925|N/A|Unknown|106
194|208|2024-09-23|Whole Home Battery Backup|367255.07|Won|854|N/A|Unknown|54
195|203|2024-01-02|Outdoor Entertainment System|193660.56|Won|870|N/A|Unknown|147
196|555|2024-07-22|Outdoor Entertainment System|112559.48|Won|393|N/A|Unknown|193
197|461|2022-03-15|Whole Home Battery Backup|86125.8|Won|1061|N/A|Unknown|55
198|380|2022-12-01|Smart Home Integration|27543.68|Won|913|N/A|Unknown|131
199|406|2021-05-17|Automated Lighting Control|350674.05|Won|292|N/A|Unknown|125
200|131|2023-05-30|Outdoor Entertainment System|341139.8|Won|219|N/A|Unknown|179
201|49|2021-07-03|Home Network Infrastructure|306797.41|Won|682|N/A|Unknown|54
202|344|2023-10-19|Automated Lighting Control|163124.84|Won|622|N/A|Unknown|33
203|784|2021-01-06|Integrated Climate Control|195746.27|Won|497|N/A|Unknown|150
204|476|2021-12-26|Home Network Infrastructure|199075.41|Won|216|N/A|Unknown|189
205|495|2024-10-18|Smart Home Integration|36167.7|Won|890|N/A|Unknown|108
206|600|2022-03-28|Custom Security System|358668.42|Won|570|N/A|Unknown|190
207|49|2024-02-01|Custom Wine Cellar Monitoring|112520.79|Won|283|N/A|Unknown|61
208|102|2021-09-30|Biometric Security System|311249.08|Won|795|N/A|Unknown|82
209|175|2022-03-12|Voice Control Integration|221269.94|Won|130|N/A|Unknown|28
210|481|2024-09-22|Whole Home Battery Backup|192591.57|Won|1118|N/A|Unknown|124
211|588|2021-03-08|Voice Control Integration|250236.88|Won|312|N/A|Unknown|150
212|474|2022-12-26|Biometric Security System|300638.88|Won|940|N/A|Unknown|124
213|342|2023-05-05|Custom Wine Cellar Monitoring|384239.29|Won|813|N/A|Unknown|149
214|92|2021-04-12|Custom Security System|241692.28|Won|37|N/A|Unknown|141
215|10|2022-09-04|Whole Home Battery Backup|68322.74|Won|1086|N/A|Unknown|108
216|579|2021-04-28|Automated Lighting Control|357945.53|Won|135|N/A|Unknown|106
217|60|2023-10-06|Whole Home Battery Backup|40162.85|Won|316|N/A|Unknown|147
218|23|2024-05-05|Smart Water Management|193300.43|Won|586|N/A|Unknown|198
219|425|2022-07-27|Biometric Security System|284672.72|Won|249|N/A|Unknown|109
220|294|2023-04-26|Voice Control Integration|383747.11|Won|1128|N/A|Unknown|142
221|600|2022-08-11|Multi-Room Audio Video|373421.33|Won|719|N/A|Unknown|79
222|1|2022-05-26|Custom Wine Cellar Monitoring|229526.11|Won|964|N/A|Unknown|162
223|587|2022-04-23|Whole Home Battery Backup|213483.07|Won|621|N/A|Unknown|112
224|5|2023-01-02|Whole-Home Automation|60153.93|Won|191|N/A|Unknown|198
225|733|2023-08-14|Luxury Home Theater|304178.47|Won|193|N/A|Unknown|77
226|395|2021-02-21|Outdoor Entertainment System|252924.42|Won|262|N/A|Unknown|142
227|681|2022-12-01|Golf Simulator Room|39952.08|Won|348|N/A|Unknown|146
228|347|2023-11-07|Outdoor Entertainment System|337398.17|Won|904|N/A|Unknown|55
229|735|2021-09-14|Luxury Home Theater|17725.01|Won|129|N/A|Unknown|75
230|452|2022-01-15|Whole-Home Automation|349885.75|Won|836|N/A|Unknown|190
231|25|2022-05-05|Custom Wine Cellar Monitoring|84600.78|Won|479|N/A|Unknown|12
232|265|2024-04-06|Golf Simulator Room|120925.25|Won|521|N/A|Unknown|140
233|360|2022-07-04|Multi-Room Audio Video|102941.7|Won|1026|N/A|Unknown|116
234|666|2023-11-07|Multi-Room Audio Video|269664.69|Won|552|N/A|Unknown|162
235|9|2025-02-12|Outdoor Entertainment System|235553.11|Won|485|N/A|Unknown|56
236|706|2024-05-22|Automated Shading Solutions|368770.46|Won|638|N/A|Unknown|164
237|472|2023-07-06|Multi-Room Audio Video|347011.27|Won|1195|N/A|Unknown|64
238|500|2021-04-26|Custom Wine Cellar Monitoring|261795.39|Won|147|N/A|Unknown|184
239|158|2024-04-30|Whole Home Battery Backup|205074.49|Won|866|N/A|Unknown|190
240|211|2022-09-06|Golf Simulator Room|106476.02|Won|985|N/A|Unknown|3
241|191|2022-05-08|Automated Shading Solutions|231472.4|Won|867|N/A|Unknown|20
242|671|2022-10-17|Automated Lighting Control|262015.74|Won|465|N/A|Unknown|110
243|697|2023-03-08|Whole Home Battery Backup|120154.52|Won|1190|N/A|Unknown|16
244|351|2021-05-07|Automated Shading Solutions|332241.32|Won|164|N/A|Unknown|56
245|70|2022-04-08|Whole-Home Automation|228258.29|Won|636|N/A|Unknown|61
246|792|2024-11-04|Home Network Infrastructure|139124.33|Won|885|N/A|Unknown|69
247|10|2024-05-26|Multi-Room Audio Video|327272.96|Won|558|N/A|Unknown|77
248|540|2023-03-23|Smart Home Integration|183895.4|Won|261|N/A|Unknown|108
249|189|2021-04-20|Smart Home Integration|146442.82|Won|134|N/A|Unknown|179
250|107|2023-06-13|Voice Control Integration|337596.72|Won|490|N/A|Unknown|133
251|35|2024-10-15|Automated Shading Solutions|312052.18|Won|1062|N/A|Unknown|198
252|767|2022-05-30|Voice Control Integration|40929.05|Won|199|N/A|Unknown|158
253|154|2025-01-02|Integrated Climate Control|188475.61|Won|1148|N/A|Unknown|131
254|80|2024-01-29|Smart Home Integration|247593.68|Won|334|N/A|Unknown|69
255|3|2021-01-25|Automated Shading Solutions|161263.53|Won|447|N/A|Unknown|129
256|264|2024-04-28|Smart Water Management|328125.57|Won|687|N/A|Unknown|106
257|178|2023-10-08|Custom Wine Cellar Monitoring|303792.18|Won|998|N/A|Unknown|179
258|770|2021-10-26|Automated Shading Solutions|75471.94|Won|967|N/A|Unknown|188
259|725|2022-06-11|Integrated Climate Control|267146.64|Won|1079|N/A|Unknown|141
260|748|2024-07-11|Biometric Security System|313829.3|Won|581|N/A|Unknown|150
261|637|2023-01-14|Smart Home Integration|226059.0|Won|517|N/A|Unknown|56
262|461|2023-10-02|Custom Security System|224027.47|Won|948|N/A|Unknown|58
263|787|2024-04-07|Automated Shading Solutions|331594.45|Won|1002|N/A|Unknown|64
264|612|2023-02-17|Custom Security System|69193.48|Won|421|N/A|Unknown|61
265|773|2021-03-25|Whole-Home Automation|40013.2|Won|461|N/A|Unknown|3
266|37|2025-02-26|Automated Lighting Control|274855.64|Won|34|N/A|Unknown|33
267|21|2023-02-09|Custom Security System|250124.55|Won|462|N/A|Unknown|13
268|118|2024-09-18|Smart Water Management|135971.44|Won|770|N/A|Unknown|3
269|528|2022-03-01|Whole Home Battery Backup|332791.48|Won|644|N/A|Unknown|184
270|738|2022-11-21|Home Network Infrastructure|329726.55|Won|287|N/A|Unknown|15
271|678|2021-02-11|Smart Water Management|244902.35|Won|994|N/A|Unknown|130
272|739|2021-03-03|Automated Lighting Control|61441.79|Won|990|N/A|Unknown|130
273|698|2024-12-05|Home Network Infrastructure|351383.0|Won|857|N/A|Unknown|51
274|254|2024-11-18|Luxury Home Theater|119493.11|Won|223|N/A|Unknown|189
275|484|2023-02-17|Voice Control Integration|297638.77|Won|668|N/A|Unknown|195
276|392|2022-05-24|Smart Water Management|303387.57|Won|613|N/A|Unknown|188
277|333|2022-11-28|Automated Lighting Control|188758.31|Won|515|N/A|Unknown|188
278|14|2021-01-24|Smart Water Management|306335.34|Won|48|N/A|Unknown|196
279|483|2021-01-09|Automated Lighting Control|309766.19|Won|107|N/A|Unknown|75
280|520|2022-03-24|Smart Home Integration|259450.27|Won|660|N/A|Unknown|77
281|310|2020-12-19|Automated Lighting Control|281069.48|Won|257|N/A|Unknown|124
282|611|2021-06-17|Golf Simulator Room|372797.27|Won|649|N/A|Unknown|129
283|472|2021-12-10|Outdoor Entertainment System|159699.25|Won|377|N/A|Unknown|139
284|307|2023-01-10|Luxury Home Theater|82516.82|Won|139|N/A|Unknown|112
285|95|2023-12-20|Automated Shading Solutions|360039.29|Won|920|N/A|Unknown|131
286|382|2022-08-11|Home Network Infrastructure|34814.34|Won|464|N/A|Unknown|13
287|763|2024-05-04|Golf Simulator Room|90242.84|Won|502|N/A|Unknown|61
288|187|2024-07-14|Custom Security System|238564.7|Won|70|N/A|Unknown|16
289|370|2022-12-06|Whole Home Battery Backup|138409.08|Won|46|N/A|Unknown|124
290|57|2022-02-28|Luxury Home Theater|29733.41|Won|333|N/A|Unknown|149
291|66|2023-01-28|Custom Security System|352364.17|Won|1184|N/A|Unknown|28
292|344|2022-04-20|Luxury Home Theater|384666.4|Won|815|N/A|Unknown|108
293|416|2024-07-08|Custom Wine Cellar Monitoring|110848.37|Won|12|N/A|Unknown|121
294|743|2024-09-13|Custom Wine Cellar Monitoring|301451.09|Won|977|N/A|Unknown|9
295|166|2023-09-07|Custom Wine Cellar Monitoring|294257.48|Won|61|N/A|Unknown|172
296|627|2021-10-01|Home Network Infrastructure|242437.87|Won|566|N/A|Unknown|54
297|30|2024-09-26|Automated Lighting Control|38299.32|Won|767|N/A|Unknown|177
298|761|2023-12-04|Whole Home Battery Backup|85226.78|Won|787|N/A|Unknown|109
299|422|2021-11-15|Whole-Home Automation|74480.5|Won|513|N/A|Unknown|112
300|348|2021-05-06|Voice Control Integration|251858.73|Won|1196|N/A|Unknown|147
301|291|2022-12-28|Multi-Room Audio Video|101557.57|Won|269|N/A|Unknown|33
302|397|2021-05-01|Integrated Climate Control|222057.43|Won|1171|N/A|Unknown|190
303|519|2022-11-14|Whole Home Battery Backup|314903.24|Won|588|N/A|Unknown|133
304|763|2022-09-15|Home Network Infrastructure|288627.98|Won|535|N/A|Unknown|58
305|734|2025-01-26|Custom Wine Cellar Monitoring|263336.65|Won|1024|N/A|Unknown|179
306|26|2022-07-03|Whole-Home Automation|371108.68|Won|533|N/A|Unknown|130
307|670|2024-05-05|Custom Wine Cellar Monitoring|165002.55|Won|714|N/A|Unknown|20
308|140|2022-12-15|Biometric Security System|360500.41|Won|136|N/A|Unknown|130
309|69|2022-11-30|Biometric Security System|59119.29|Won|131|N/A|Unknown|131
310|226|2023-08-01|Multi-Room Audio Video|42889.14|Won|416|N/A|Unknown|140
311|259|2021-04-05|Custom Wine Cellar Monitoring|62558.58|Won|577|N/A|Unknown|124
312|774|2024-08-06|Luxury Home Theater|100387.78|Won|605|N/A|Unknown|147
313|632|2021-02-15|Biometric Security System|141192.22|Won|1036|N/A|Unknown|189
314|416|2022-03-24|Voice Control Integration|171464.36|Won|1164|N/A|Unknown|68
315|116|2021-04-14|Smart Water Management|328709.67|Won|930|N/A|Unknown|9
316|576|2021-08-05|Custom Wine Cellar Monitoring|150690.91|Won|1012|N/A|Unknown|191
317|454|2023-05-10|Automated Shading Solutions|365510.41|Won|154|N/A|Unknown|109
318|192|2024-05-18|Voice Control Integration|81253.34|Won|215|N/A|Unknown|116
319|328|2022-03-08|Whole-Home Automation|226422.59|Won|152|N/A|Unknown|129
320|596|2022-04-28|Luxury Home Theater|158651.63|Won|1113|N/A|Unknown|75
321|380|2024-06-09|Automated Shading Solutions|373018.97|Won|1009|N/A|Unknown|15
322|210|2022-01-12|Automated Shading Solutions|262369.42|Won|494|N/A|Unknown|110
323|57|2024-10-23|Voice Control Integration|258269.06|Won|63|N/A|Unknown|82
324|486|2022-04-06|Whole Home Battery Backup|174369.33|Won|489|N/A|Unknown|54
